transaction_id,ts,customer_id,branch,channel,category,quantity,unit_price,amount,payment_method,gio,score
T0006471,2025-02-03 03:34:46,C00023,TP HCM,Cửa hàng,Gia dụng,1.0,13767174.180254914,13767174.0,VI_DIEN_TU,3,-0.6706362176430472
T0004961,2025-01-27 00:05:19,C00038,Đà Nẵng,Online,Gia dụng,5.0,936000.0,4680000.0,VI_DIEN_TU,0,-0.6703929544637983
T0052089,2025-09-28 23:08:23,C07442,Hà Nội,Online,Điện tử,5.0,1220000.0,6100000.0,THE,23,-0.670332808378081
T0048135,2025-09-08 03:36:20,C05849,TP HCM,Online,Điện tử,1.0,22490660.214780096,22490660.0,VI_DIEN_TU,3,-0.670169636194904
T0056284,2025-10-20 04:33:28,C00116,TP HCM,Online,Thời trang,1.0,13969481.605366215,13969482.0,VI_DIEN_TU,4,-0.6700889906842681
T0033361,2025-06-23 04:29:23,C00066,Hà Nội,Online,Gia dụng,1.0,13649354.652832609,13649355.0,VI_DIEN_TU,4,-0.6700889906842681
T0006565,2025-02-04 01:04:10,C00133,Đà Nẵng,Cửa hàng,Điện tử,1.0,18517546.030806795,18517546.0,VI_DIEN_TU,1,-0.6700596002689864
T0022741,2025-04-29 01:10:05,C01390,TP HCM,Online,Điện tử,1.0,19156760.21848881,19156760.0,VI_DIEN_TU,1,-0.6700541895959401
T0042749,2025-08-11 03:39:45,C06275,Hà Nội,Cửa hàng,Điện tử,1.0,17241927.111708537,17241927.0,VI_DIEN_TU,3,-0.669955947966428
T0022652,2025-04-28 13:49:18,C00427,TP HCM,Online,Điện tử,5.0,1204000.0,6020000.0,VI_DIEN_TU,13,-0.6698503221608009
T0004791,2025-01-26 01:30:56,C02232,Cần Thơ,Cửa hàng,Gia dụng,1.0,15375838.604189873,15375839.0,VI_DIEN_TU,1,-0.6696623541921645
T0049408,2025-09-15 02:40:31,C02092,Hà Nội,Cửa hàng,Gia dụng,1.0,12907353.740513152,12907354.0,VI_DIEN_TU,2,-0.6694425812833485
T0048109,2025-09-08 04:11:07,C05443,Hà Nội,Cửa hàng,Gia dụng,1.0,14262351.046658114,14262351.0,VI_DIEN_TU,4,-0.6692763683313256
T0045310,2025-08-25 04:43:33,C00846,Cần Thơ,Cửa hàng,Gia dụng,1.0,14260885.22351168,14260885.22351168,VI_DIEN_TU,4,-0.6692763683313256
T0019835,2025-04-13 01:12:16,C01240,Hải Phòng,Cửa hàng,Điện tử,1.0,16023364.057005696,16023364.0,VI_DIEN_TU,1,-0.6692094230483842
T0054827,2025-10-13 03:50:00,C01907,Hà Nội,Online,Điện tử,1.0,13779577.453581717,13779577.0,VI_DIEN_TU,3,-0.6690370253396334
T0045391,2025-08-25 03:48:24,C01219,TP HCM,Online,Gia dụng,1.0,14604820.504039604,14604821.0,VI_DIEN_TU,3,-0.6690370253396334
T0043943,2025-08-17 01:03:57,C00177,Hà Nội,Cửa hàng,Gia dụng,1.0,17464098.90258284,17464099.0,VI_DIEN_TU,1,-0.6689830723682102
T0015741,2025-03-23 01:41:02,C05324,Cần Thơ,Cửa hàng,Gia dụng,1.0,17467637.658559475,17467638.0,VI_DIEN_TU,1,-0.6689830723682102
T0054949,2025-10-13 04:15:25,C04332,TP HCM,Cửa hàng,Điện tử,1.0,18499018.73724452,18499019.0,VI_DIEN_TU,4,-0.6688236982519703
T0020054,2025-04-14 23:00:03,C05889,Hà Nội,Online,Sách,5.0,146000.0,730000.0,VI_DIEN_TU,23,-0.6687922344446828
T0038975,2025-07-22 01:25:16,C07179,Hải Phòng,Online,Điện tử,1.0,14430857.131616794,14430857.0,VI_DIEN_TU,1,-0.6686955204627094
T0020245,2025-04-15 01:13:44,C00001,Hà Nội,Online,Thời trang,1.0,14136493.092350226,14136493.0,VI_DIEN_TU,1,-0.6686955204627094
T0007876,2025-02-10 23:34:26,C03489,Đà Nẵng,Online,Gia dụng,5.0,728000.0,3640000.0,VI_DIEN_TU,23,-0.6683593288231775
TDUP0090,2025-07-21 00:15:15,C02455,Hà Nội,Online,Điện tử,5.0,954000.0,4293000.0,VI_DIEN_TU,0,-0.6681288927124402
T0057347,2025-10-26 01:44:18,C00003,Cần Thơ,Online,Điện tử,1.0,10048796.305885697,10048796.0,VI_DIEN_TU,1,-0.66796888875037
T0052497,2025-10-01 01:38:05,C05211,Hà Nội,Cửa hàng,Gia dụng,1.0,15338857.060898617,15338857.0,VI_DIEN_TU,1,-0.6674953453611959
T0005959,2025-02-01 01:36:48,C01463,TP HCM,Online,Gia dụng,1.0,15469171.1394034,15469171.0,VI_DIEN_TU,1,-0.6673431293012532
T0041129,2025-08-03 00:41:21,C01466,Hải Phòng,Online,Thời trang,5.0,693000.0,3465000.0,VI_DIEN_TU,0,-0.6672116226335847
T0034325,2025-06-28 01:33:31,C00041,Cần Thơ,Online,Điện tử,1.0,16324927.47783281,16324927.0,VI_DIEN_TU,1,-0.6671174098687044
T0021854,2025-04-24 01:51:42,C00654,Cần Thơ,Cửa hàng,Điện tử,1.0,19076754.45465544,19076754.45465544,VI_DIEN_TU,1,-0.6670301042987768
T0027262,2025-05-22 01:50:13,C07406,Hà Nội,Cửa hàng,Điện tử,1.0,19289811.324262496,19289811.324262496,VI_DIEN_TU,1,-0.6670301042987768
T0052190,2025-09-29 03:28:53,C03402,Hải Phòng,Online,Gia dụng,1.0,11406758.255977465,11406758.0,VI_DIEN_TU,3,-0.667003147292099
T0032005,2025-06-16 03:16:56,C00038,Cần Thơ,Online,Điện tử,1.0,11124051.882436996,11124051.882436996,VI_DIEN_TU,3,-0.667003147292099
T0011645,2025-03-02 02:39:25,C02301,TP HCM,Cửa hàng,Thời trang,1.0,13708502.290786402,13708502.0,VI_DIEN_TU,2,-0.6669025672024426
T0018678,2025-04-07 23:10:23,C00080,Hà Nội,Cửa hàng,Gia dụng,5.0,904000.0,4520000.0,VI_DIEN_TU,23,-0.6668554919894496
T0008853,2025-02-16 00:38:09,C04105,TP HCM,Cửa hàng,Điện tử,5.0,1074000.0,5370000.0,VI_DIEN_TU,0,-0.6665555182399892
T0054589,2025-10-12 00:54:37,C00844,TP HCM,Online,Điện tử,5.0,1243000.0,6215000.0,THE,0,-0.6664841726413573
T0007638,2025-02-09 03:06:34,C02733,Cần Thơ,Cửa hàng,Điện tử,1.0,21901815.51358178,21901816.0,VI_DIEN_TU,3,-0.6664787248772985
T0033057,2025-06-22 01:42:11,C07063,Hà Nội,Cửa hàng,Gia dụng,1.0,12156084.17598361,12156084.17598361,VI_DIEN_TU,1,-0.6664245324275094
T0053503,2025-10-06 01:52:48,C01115,TP HCM,Online,Mỹ phẩm,1.0,7834773.844890054,7834774.0,VI_DIEN_TU,1,-0.6663648463977432
T0006230,2025-02-02 01:41:34,C00044,Đà Nẵng,Cửa hàng,Gia dụng,1.0,12012806.58148618,12012807.0,VI_DIEN_TU,1,-0.6661991236974403
T0046727,2025-09-01 07:06:11,C00719,TP HCM,Online,Điện tử,5.0,1137000.0,5685000.0,VI_DIEN_TU,7,-0.6659716440370682
T0014398,2025-03-16 17:33:05,C00049,TP HCM,Online,Điện tử,5.0,1211000.0,6055000.0,VI_DIEN_TU,17,-0.6658757957350607
T0001883,2025-01-11 01:59:53,C00209,Hải Phòng,Online,Thời trang,1.0,11787695.045342496,11787695.0,VI_DIEN_TU,1,-0.6657646956448354
T0055370,2025-10-16 01:43:51,C00642,Cần Thơ,Cửa hàng,Thời trang,1.0,14045800.051878748,14045800.0,VI_DIEN_TU,1,-0.6654470837292223
T0002969,2025-01-16 01:00:30,C00043,TP HCM,Cửa hàng,Điện tử,1.0,14424113.926751886,14424114.0,VI_DIEN_TU,1,-0.6654470837292223
T0037170,2025-07-13 09:47:45,C00824,Hà Nội,Online,Điện tử,5.0,1175000.0,5875000.0,VI_DIEN_TU,9,-0.6651543372066181
T0026310,2025-05-17 01:23:55,C04146,Đà Nẵng,Cửa hàng,Điện tử,1.0,18214705.311504368,18214705.311504368,VI_DIEN_TU,1,-0.6651495645464702
T0058535,2025-11-01 01:27:24,C00103,TP HCM,Cửa hàng,Điện tử,1.0,17769193.896091305,17769194.0,VI_DIEN_TU,1,-0.6651495645464702
T0026634,2025-05-19 02:35:06,C02089,TP HCM,Cửa hàng,Gia dụng,1.0,10959264.400060752,10959264.0,VI_DIEN_TU,2,-0.66514841670292
T0032869,2025-06-21 01:55:38,C01504,TP HCM,Online,Gia dụng,1.0,10847241.294573644,10847241.0,VI_DIEN_TU,1,-0.665089367467955
T0036051,2025-07-07 15:52:21,C02891,TP HCM,Online,Điện tử,5.0,1114000.0,5570000.0,VI_DIEN_TU,15,-0.6650144928284011
T0029193,2025-06-01 04:09:55,C07934,TP HCM,Cửa hàng,Điện tử,1.0,22293232.62287381,22293233.0,VI_DIEN_TU,4,-0.6649357039113578
T0050688,2025-09-21 04:52:48,C00662,Hải Phòng,Cửa hàng,Điện tử,1.0,19809690.29208193,19809690.0,VI_DIEN_TU,4,-0.6649357039113578
T0047854,2025-09-07 01:05:56,C06019,Hà Nội,Cửa hàng,Điện tử,1.0,11027391.455681954,11027391.0,VI_DIEN_TU,1,-0.6648482714827875
T0013114,2025-03-10 01:45:21,C06625,TP HCM,Online,Điện tử,5.0,1243000.0,6215000.0,TIEN_MAT,1,-0.6648256442743441
T0049200,2025-09-14 02:14:00,C00055,Đà Nẵng,Online,Gia dụng,1.0,15198406.627887616,15198406.627887616,VI_DIEN_TU,2,-0.6646134661186354
T0057503,2025-10-27 04:59:35,C04573,TP HCM,Cửa hàng,Điện tử,1.0,11085504.12621894,11085504.0,VI_DIEN_TU,4,-0.6644650604051615
T0045343,2025-08-25 04:25:21,C03014,TP HCM,Cửa hàng,Thời trang,1.0,11732205.75042868,11732205.75042868,VI_DIEN_TU,4,-0.6644650604051615
T0023837,2025-05-04 02:29:11,C07161,Đà Nẵng,Online,Điện tử,1.0,16264574.637094034,16264575.0,VI_DIEN_TU,2,-0.6643886699562868
TDUP0062,2025-10-31 22:07:48,C00054,Hà Nội,Online,Điện tử,5.0,1219000.0,6095000.0,VI_DIEN_TU,22,-0.6643111640864888
T0031889,2025-06-15 22:06:32,C00247,Hà Nội,Online,Thực phẩm,5.0,183000.0,777750.0,VI_DIEN_TU,22,-0.6642831664131613
T0027912,2025-05-25 03:20:30,C05984,TP HCM,Cửa hàng,Điện tử,1.0,16990523.335392307,16990523.0,VI_DIEN_TU,3,-0.664222564831694
T0033261,2025-06-23 03:19:22,C01375,Hà Nội,Online,Mỹ phẩm,1.0,9901375.819579262,9901376.0,VI_DIEN_TU,3,-0.6640762342046528
T0037473,2025-07-14 22:40:43,C01934,Đà Nẵng,Online,Gia dụng,5.0,764000.0,3820000.0,VI_DIEN_TU,22,-0.6640639138841793
T0026575,2025-05-18 01:17:49,C00597,TP HCM,Cửa hàng,Gia dụng,1.0,10303376.375993729,10303376.0,VI_DIEN_TU,1,-0.6639492254180678
T0027877,2025-05-25 01:41:05,C00718,TP HCM,Cửa hàng,Gia dụng,1.0,10112146.994313292,10112147.0,VI_DIEN_TU,1,-0.6639492254180678
T0043023,2025-08-13 01:01:06,C03261,Hà Nội,Cửa hàng,Gia dụng,1.0,12763070.650338223,12763071.0,VI_DIEN_TU,1,-0.6638256280226791
T0029258,2025-06-02 02:34:14,C04897,TP HCM,Online,Gia dụng,1.0,8948801.826108383,8948802.0,VI_DIEN_TU,2,-0.6637070541622934
T0003031,2025-01-17 01:43:06,C00019,Hà Nội,Cửa hàng,Điện tử,1.0,15701150.13529841,15701150.0,VI_DIEN_TU,1,-0.6636488413373229
T0012644,2025-03-07 01:32:47,C00164,Đà Nẵng,Cửa hàng,Điện tử,1.0,15610709.281611145,15610709.281611145,VI_DIEN_TU,1,-0.6636488413373229
T0038219,2025-07-18 01:17:02,C03901,Cần Thơ,Cửa hàng,Điện tử,1.0,15515788.78489737,15515789.0,VI_DIEN_TU,1,-0.6636488413373229
T0053558,2025-10-06 17:27:49,C03618,Hải Phòng,Cửa hàng,Điện tử,5.0,1227000.0,6135000.0,VI_DIEN_TU,17,-0.6636061765601874
T0000727,2025-01-05 03:53:06,C00051,Hà Nội,Cửa hàng,Gia dụng,1.0,12551814.19628922,12551814.0,VI_DIEN_TU,3,-0.6635488009378063
T0056205,2025-10-20 01:45:55,C00052,Hải Phòng,Cửa hàng,Gia dụng,1.0,8707065.75417026,8707066.0,VI_DIEN_TU,1,-0.663396146347261
T0053286,2025-10-05 02:10:52,C01974,TP HCM,Online,Thời trang,1.0,10700326.361588404,10700326.0,VI_DIEN_TU,2,-0.6632658291424537
T0031047,2025-06-11 01:53:49,C00495,Hải Phòng,Online,Điện tử,1.0,21702544.727209557,21702545.0,VI_DIEN_TU,1,-0.6632653816360552
T0017702,2025-04-02 01:07:45,C02376,TP HCM,Online,Điện tử,1.0,20262131.09365195,20262131.0,VI_DIEN_TU,1,-0.6632653816360552
T0045557,2025-08-26 02:36:09,C00171,Cần Thơ,Online,Điện tử,1.0,19238077.730408084,19238078.0,VI_DIEN_TU,2,-0.6631390744583185
T0044205,2025-08-19 03:44:15,C06303,Cần Thơ,Cửa hàng,Điện tử,1.0,21303241.360916127,21303241.0,VI_DIEN_TU,3,-0.6631280278752396
T0045341,2025-08-25 04:47:35,C00097,TP HCM,Cửa hàng,Thời trang,1.0,10958632.449925013,10958632.0,VI_DIEN_TU,4,-0.6629617153322984
T0025033,2025-05-11 01:13:39,C00643,Hà Nội,Online,Thực phẩm,5.0,201000.0,954750.0,VI_DIEN_TU,1,-0.6628035935436758
T0006151,2025-02-02 04:46:03,C02166,Cần Thơ,Online,Điện tử,5.0,1135000.0,5391250.0,VI_DIEN_TU,4,-0.6625123879037305
T0031102,2025-06-11 02:14:10,C03178,Hà Nội,Cửa hàng,Điện tử,1.0,19526563.738293357,19526564.0,VI_DIEN_TU,2,-0.6624638893043501
T0036531,2025-07-10 01:54:45,C00003,Hải Phòng,Online,Gia dụng,1.0,14668626.13673097,14668626.0,VI_DIEN_TU,1,-0.6623768136153835
T0055757,2025-10-18 02:18:29,C07972,Hà Nội,Cửa hàng,Điện tử,1.0,19153565.81438606,19153566.0,VI_DIEN_TU,2,-0.6623355228945814
T0044234,2025-08-19 04:47:16,C05418,TP HCM,Cửa hàng,Điện tử,1.0,19935035.45058895,19935035.0,VI_DIEN_TU,4,-0.6623045738283563
T0031448,2025-06-13 01:17:35,C01523,TP HCM,Online,Gia dụng,1.0,16268412.252342423,16268412.0,VI_DIEN_TU,1,-0.662268468545277
T0006124,2025-02-02 03:59:07,C01778,TP HCM,Online,Gia dụng,1.0,14027476.634477654,14027477.0,VI_DIEN_TU,3,-0.6622438345656051
T0042411,2025-08-09 23:04:07,C06805,Cần Thơ,Cửa hàng,Điện tử,5.0,1039000.0,5195000.0,VI_DIEN_TU,23,-0.6622407979585416
T0046879,2025-09-02 01:44:44,C00002,Hải Phòng,Cửa hàng,Gia dụng,1.0,10903138.579841824,10903139.0,VI_DIEN_TU,1,-0.661949002880573
T0035893,2025-07-06 03:07:46,C04972,Cần Thơ,Online,Gia dụng,1.0,18155575.01471688,18155575.01471688,VI_DIEN_TU,3,-0.6617959209930808
T0007994,2025-02-11 02:16:52,C02738,Hải Phòng,Online,Thời trang,1.0,14075078.267939018,14075078.0,VI_DIEN_TU,2,-0.6617944271066633
T0028599,2025-05-29 01:08:50,C01256,TP HCM,Cửa hàng,Thời trang,1.0,12602655.530282082,12602656.0,VI_DIEN_TU,1,-0.6617886272051469
T0016407,2025-03-27 01:04:35,C04796,Hải Phòng,Cửa hàng,Gia dụng,1.0,12706966.271722108,12706966.0,VI_DIEN_TU,1,-0.6617886272051469
T0036105,2025-07-07 23:06:44,C00615,Hải Phòng,Online,Điện tử,5.0,1037000.0,5185000.0,THE,23,-0.6617767098598136
T0023703,2025-05-04 01:15:30,C00312,Hà Nội,Cửa hàng,Gia dụng,1.0,9552859.66528606,9552860.0,VI_DIEN_TU,1,-0.6617069255309588
T0036384,2025-07-09 01:09:42,C00006,Hải Phòng,Online,Gia dụng,1.0,16521111.024003888,16521111.0,VI_DIEN_TU,1,-0.6616965928742569
T0031571,2025-06-14 01:20:08,C00090,Hải Phòng,Cửa hàng,Gia dụng,1.0,11238456.101086628,11238456.101086628,VI_DIEN_TU,1,-0.6614858584311554
T0023701,2025-05-04 02:04:34,C00086,TP HCM,Online,Điện tử,5.0,1001000.0,4754750.0,VI_DIEN_TU,2,-0.6614783308470629
T0047065,2025-09-03 04:06:36,C00011,Hải Phòng,Cửa hàng,Điện tử,1.0,18879603.7297244,18879604.0,VI_DIEN_TU,4,-0.6613907025965889
T0034507,2025-06-29 03:19:45,C04572,Hà Nội,Cửa hàng,Gia dụng,1.0,11985230.5029927,11985231.0,VI_DIEN_TU,3,-0.6612346978248503
T0027009,2025-05-21 03:27:39,C05430,TP HCM,Cửa hàng,Điện tử,1.0,13439288.42215072,13439288.0,VI_DIEN_TU,3,-0.6611617035000168
T0025194,2025-05-11 03:53:47,C06841,TP HCM,Online,Điện tử,1.0,10417160.725950932,10417161.0,VI_DIEN_TU,3,-0.6611246186009372
T0058807,2025-11-03 02:53:18,C00516,Hà Nội,Cửa hàng,Thời trang,1.0,9754297.612850703,9754298.0,VI_DIEN_TU,2,-0.6610843089757213
T0041540,2025-08-05 03:56:14,C04236,Hải Phòng,Cửa hàng,Điện tử,1.0,17785198.63104045,17785199.0,VI_DIEN_TU,3,-0.6610389793359863
T0013270,2025-03-10 04:21:07,C01983,Đà Nẵng,Online,Điện tử,1.0,8693480.164958326,8693480.0,VI_DIEN_TU,4,-0.6610362237351174
T0041318,2025-08-04 02:34:55,C07389,Hải Phòng,Online,Thời trang,1.0,7829507.318047588,7829507.318047588,VI_DIEN_TU,2,-0.6610181849508927
T0047104,2025-09-03 02:10:34,C01938,Hà Nội,Cửa hàng,Gia dụng,1.0,13822980.49291552,13822980.0,VI_DIEN_TU,2,-0.6608917054454846
T0041469,2025-08-04 21:55:11,C01825,TP HCM,Online,Gia dụng,5.0,820000.0,4100000.0,VI_DIEN_TU,21,-0.6608136753759652
T0009220,2025-02-17 04:59:44,C04714,Cần Thơ,Online,Điện tử,1.0,8880542.329602616,8880542.0,VI_DIEN_TU,4,-0.6608126375247192
T0033076,2025-06-22 03:50:15,C03682,TP HCM,Cửa hàng,Gia dụng,1.0,10386884.739965629,10386885.0,VI_DIEN_TU,3,-0.6607874667895111
T0039646,2025-07-26 02:53:09,C03622,Đà Nẵng,Cửa hàng,Thời trang,1.0,13697266.397916509,13697266.0,VI_DIEN_TU,2,-0.6607636436796381
T0049096,2025-09-13 02:11:18,C00012,Hà Nội,Cửa hàng,Điện tử,1.0,13697361.520865642,13697361.520865642,VI_DIEN_TU,2,-0.6607636436796381
T0030363,2025-06-07 02:02:19,C07971,Hà Nội,Cửa hàng,Thời trang,1.0,15556253.298756093,15556253.0,VI_DIEN_TU,2,-0.6607636436796381
T0009336,2025-02-18 04:38:25,C03432,Đà Nẵng,Cửa hàng,Điện tử,1.0,15114597.0574884,15114597.0,VI_DIEN_TU,4,-0.6606649651041593
T0002817,2025-01-15 01:29:05,C03562,Hà Nội,Cửa hàng,Gia dụng,1.0,11000863.05533924,11000863.0,VI_DIEN_TU,1,-0.6606160268663762
T0005125,2025-01-27 21:34:49,C07058,Cần Thơ,Online,Gia dụng,5.0,875000.0,3937500.0,VI_DIEN_TU,21,-0.6603799204714932
T0030301,2025-06-07 01:40:07,C00506,TP HCM,Cửa hàng,Gia dụng,1.0,10500276.65232857,10500276.65232857,VI_DIEN_TU,1,-0.6603679234734916
T0007336,2025-02-08 02:45:37,C02662,TP HCM,Cửa hàng,Điện tử,1.0,16421760.324124863,16421760.0,VI_DIEN_TU,2,-0.6603167312452946
T0011377,2025-03-01 04:49:26,C03135,Hà Nội,Cửa hàng,Điện tử,1.0,20221459.27647042,20221459.0,VI_DIEN_TU,4,-0.6602329288431169
T0046382,2025-08-30 02:52:21,C00761,Đà Nẵng,Cửa hàng,Gia dụng,1.0,17356957.301986612,17356957.0,VI_DIEN_TU,2,-0.660093388393117
T0001911,2025-01-11 02:11:27,C01561,TP HCM,Cửa hàng,Điện tử,1.0,17104734.435128927,17104734.0,VI_DIEN_TU,2,-0.660093388393117
T0034657,2025-06-30 03:46:06,C07156,Hải Phòng,Online,Gia dụng,1.0,8645464.717374476,8645465.0,VI_DIEN_TU,3,-0.6600447769611676
T0007423,2025-02-08 03:10:27,C00436,TP HCM,Cửa hàng,Gia dụng,1.0,13633812.22198768,13633812.0,VI_DIEN_TU,3,-0.6599712099239944
T0029493,2025-06-03 04:34:15,C01008,Hà Nội,Online,Điện tử,1.0,23843405.69365818,23843405.69365818,VI_DIEN_TU,4,-0.6599014014530483
T0030685,2025-06-09 03:41:22,C04637,Hải Phòng,Cửa hàng,Gia dụng,1.0,9648064.61043891,9648065.0,VI_DIEN_TU,3,-0.659803192336395
T0054775,2025-10-13 02:40:09,C07085,Hà Nội,Online,Thời trang,5.0,827000.0,4135000.0,VI_DIEN_TU,2,-0.6597782649678917
T0047358,2025-09-04 01:17:30,C00042,Đà Nẵng,Online,Gia dụng,1.0,13042981.17598267,13042981.0,VI_DIEN_TU,1,-0.6596933335931258
T0000846,2025-01-05 17:34:45,C02231,TP HCM,Cửa hàng,Điện tử,5.0,1107000.0,5535000.0,VI_DIEN_TU,17,-0.6596700601720842
T0054904,2025-10-13 18:21:14,C00597,TP HCM,Cửa hàng,Điện tử,5.0,1187000.0,5341500.0,VI_DIEN_TU,18,-0.659642052710631
T0015903,2025-03-24 13:58:42,C01114,Hà Nội,Online,Gia dụng,5.0,973000.0,4865000.0,VI_DIEN_TU,13,-0.6596110265142395
T0018896,2025-04-09 04:19:31,C02031,Hà Nội,Cửa hàng,Gia dụng,1.0,13768470.100720638,13768470.0,VI_DIEN_TU,4,-0.6595978904639379
T0020343,2025-04-16 04:39:03,C04657,Hà Nội,Cửa hàng,Thời trang,1.0,15416710.200170483,15416710.0,VI_DIEN_TU,4,-0.6595978904639379
T0033783,2025-06-25 04:42:55,C07055,Hà Nội,Cửa hàng,Gia dụng,1.0,13923589.566699872,13923589.566699872,VI_DIEN_TU,4,-0.6595978904639379
