customer_id,age,gender,city,tenure_months,support_tickets,churn,recency,frequency,monetary,phan_khuc,trang_thai
C00033,28,Nữ,Hà Nội,59,0,0,9.0,87.0,95788550.0,Khách VIP,Đang hoạt động
C00034,36,Nữ,Hà Nội,50,1,0,1.0,82.0,88228074.0,Khách VIP,Đang hoạt động
C00035,18,Nữ,TP HCM,56,0,0,5.0,78.0,92157600.0,Khách VIP,Đang hoạt động
C00036,56,Nữ,TP HCM,54,1,0,3.0,80.0,74765840.0,Khách VIP,Đang hoạt động
C00037,35,Nam,TP HCM,3,0,0,3.0,83.0,78178950.0,Khách VIP,Đang hoạt động
C00038,61,Nữ,Hải Phòng,41,1,0,5.0,70.0,74276801.88243699,Khách VIP,Đang hoạt động
C00039,56,Nam,Đà Nẵng,41,3,0,3.0,69.0,80574275.0,Khách VIP,Đang hoạt động
C00040,21,Nữ,Hà Nội,6,3,0,4.0,74.0,66873555.0,Khách VIP,Đang hoạt động
C00041,61,Nữ,Hải Phòng,22,1,0,1.0,80.0,88934627.0,Khách VIP,Đang hoạt động
C00042,24,Nữ,TP HCM,11,1,0,7.0,71.0,63097081.0,Khách VIP,Đang hoạt động
C00043,53,Nam,Đà Nẵng,55,4,0,1.0,78.0,85527444.0,Khách VIP,Đang hoạt động
C00044,28,Nữ,Cần Thơ,53,0,0,3.0,59.0,71289775.0,Khách VIP,Đang hoạt động
C00045,37,Nam,TP HCM,43,3,0,3.0,82.0,75896250.0,Khách VIP,Đang hoạt động
C00046,18,Nữ,TP HCM,4,1,0,2.0,66.0,60632950.0,Khách VIP,Đang hoạt động
C00047,26,Nữ,Hà Nội,32,4,0,9.0,62.0,50179400.0,Khách VIP,Đang hoạt động
C00048,51,Nữ,Hải Phòng,50,1,0,7.0,69.0,69481750.0,Khách VIP,Đang hoạt động
C00049,18,Nữ,Cần Thơ,46,0,0,10.0,73.0,77750010.0,Khách VIP,Đang hoạt động
C00050,34,Nữ,TP HCM,53,2,0,5.0,59.0,56337346.0,Khách VIP,Đang hoạt động
C00051,50,Nữ,Hà Nội,23,2,0,12.0,62.0,69605314.0,Khách VIP,Đang hoạt động
C00052,26,Nữ,Hà Nội,48,3,0,1.0,63.0,68041531.0,Khách VIP,Đang hoạt động
C00053,31,Nam,TP HCM,60,1,0,2.0,60.0,67685750.0,Khách VIP,Đang hoạt động
C00054,67,Nam,TP HCM,54,1,0,6.0,81.0,86490650.0,Khách VIP,Đang hoạt động
C00055,59,Nam,Hà Nội,53,1,0,13.0,55.0,68004156.62788762,Khách VIP,Đang hoạt động
C00056,47,Nam,Hà Nội,58,1,0,12.0,59.0,66301381.0,Khách VIP,Đang hoạt động
C00057,42,Nữ,Đà Nẵng,21,0,0,2.0,66.0,51335050.0,Khách VIP,Đang hoạt động
C00058,60,Nam,TP HCM,36,1,0,12.0,77.0,86672200.0,Khách VIP,Đang hoạt động
C00059,25,Nam,TP HCM,14,2,0,15.0,52.0,35966250.0,Khách VIP,Đang hoạt động
C00060,45,Nữ,Hà Nội,26,4,0,1.0,50.0,48117600.0,Khách VIP,Đang hoạt động
C00061,31,Nữ,TP HCM,39,0,0,2.0,55.0,60068000.0,Khách VIP,Đang hoạt động
C00062,40,Nữ,TP HCM,38,2,0,3.0,60.0,58823450.0,Khách VIP,Đang hoạt động
C00063,40,Nam,TP HCM,55,3,0,13.0,52.0,53211350.0,Khách VIP,Đang hoạt động
C00064,45,Nữ,Hà Nội,38,2,0,11.0,47.0,38499150.0,Khách VIP,Đang hoạt động
C00065,66,Nam,Hà Nội,7,2,0,1.0,53.0,69697650.27299803,Khách VIP,Đang hoạt động
C00066,61,Nữ,Đà Nẵng,9,1,0,8.0,51.0,58388555.0,Khách VIP,Đang hoạt động
C00067,31,Nữ,Đà Nẵng,22,2,0,5.0,60.0,65183650.0,Khách VIP,Đang hoạt động
C00068,20,Nam,TP HCM,56,1,0,1.0,55.0,53856752.0,Khách VIP,Đang hoạt động
C00069,70,Nam,Hải Phòng,56,0,0,7.0,55.0,55398250.0,Khách VIP,Đang hoạt động
C00070,43,Nam,Đà Nẵng,45,0,0,4.0,48.0,55012400.0,Khách VIP,Đang hoạt động
C00071,44,Nam,TP HCM,43,3,0,2.0,53.0,45197200.0,Khách VIP,Đang hoạt động
C00072,18,Nữ,Hải Phòng,14,1,0,11.0,50.0,47094200.0,Khách VIP,Đang hoạt động
C00073,45,Nam,TP HCM,32,0,0,16.0,46.0,40016319.0,Khách VIP,Đang hoạt động
C00074,65,Nữ,Hà Nội,37,2,0,22.0,52.0,51210325.0,Khách VIP,Đang hoạt động
C00075,63,Nam,Đà Nẵng,36,2,0,6.0,46.0,51571573.0,Khách VIP,Đang hoạt động
C00076,51,Nam,Hải Phòng,34,1,0,14.0,40.0,39943800.0,Khách VIP,Đang hoạt động
C00077,37,Nam,TP HCM,18,2,0,15.0,51.0,41831550.0,Khách VIP,Đang hoạt động
C00078,26,Nam,Đà Nẵng,40,3,0,14.0,51.0,40036376.0,Khách VIP,Đang hoạt động
C00079,65,Nữ,Hà Nội,45,4,0,5.0,45.0,55744899.0,Khách VIP,Đang hoạt động
C00080,46,Nữ,Hà Nội,52,2,0,6.0,46.0,55695400.0,Khách VIP,Đang hoạt động
C00081,58,Nam,Hà Nội,2,1,0,30.0,40.0,40118952.0,Trung bình,Đang hoạt động
C00082,33,Nữ,Cần Thơ,14,0,0,4.0,43.0,44365300.0,Khách VIP,Đang hoạt động
C00083,24,Nữ,Hải Phòng,14,3,0,6.0,55.0,52610928.0,Khách VIP,Đang hoạt động
C00084,30,Nam,TP HCM,41,0,0,1.0,39.0,31341650.0,Khách VIP,Đang hoạt động
C00085,66,Nữ,Đà Nẵng,23,1,0,6.0,52.0,46209800.0,Khách VIP,Đang hoạt động
C00086,68,Nữ,TP HCM,46,3,0,7.0,49.0,48171000.0,Khách VIP,Đang hoạt động
C00087,66,Nữ,Cần Thơ,25,0,0,4.0,42.0,55233449.0,Khách VIP,Đang hoạt động
C00088,19,Nam,Cần Thơ,6,0,0,10.0,42.0,55125041.0,Khách VIP,Đang hoạt động
C00089,46,Nam,TP HCM,40,1,0,2.0,49.0,41540900.0,Khách VIP,Đang hoạt động
C00090,26,Nam,Hà Nội,37,0,0,4.0,43.0,49091936.10108663,Khách VIP,Đang hoạt động
C00091,26,Nam,TP HCM,35,2,0,1.0,41.0,46001672.0,Khách VIP,Đang hoạt động
C00092,65,Nam,Cần Thơ,36,0,0,6.0,37.0,46384650.0,Khách VIP,Đang hoạt động
C00093,49,Nữ,TP HCM,14,0,0,2.0,46.0,38135800.0,Khách VIP,Đang hoạt động
C00094,70,Nam,Hà Nội,49,1,0,4.0,52.0,56627855.0,Khách VIP,Đang hoạt động
C00095,47,Nam,Cần Thơ,44,4,0,8.0,35.0,26826650.0,Khách VIP,Đang hoạt động
C00096,24,Nam,TP HCM,22,1,0,1.0,42.0,34947750.0,Khách VIP,Đang hoạt động
C00097,45,Nam,Đà Nẵng,31,0,0,7.0,39.0,48456382.0,Khách VIP,Đang hoạt động
C00098,45,Nữ,Hà Nội,32,2,0,2.0,43.0,33167500.0,Khách VIP,Đang hoạt động
C00099,51,Nữ,Hà Nội,42,3,0,2.0,48.0,39891850.0,Khách VIP,Đang hoạt động
C00100,49,Nữ,Đà Nẵng,24,4,0,20.0,44.0,40033550.0,Khách VIP,Đang hoạt động
C00101,68,Nữ,Đà Nẵng,5,0,0,6.0,36.0,35171950.0,Khách VIP,Đang hoạt động
C00102,19,Nam,TP HCM,5,1,0,24.0,27.0,31155250.0,Khách VIP,Đang hoạt động
C00103,67,Nữ,TP HCM,16,1,0,7.0,41.0,69600814.0,Khách VIP,Đang hoạt động
C00104,24,Nam,TP HCM,45,2,0,26.0,32.0,32188550.0,Khách VIP,Đang hoạt động
C00105,38,Nữ,Hà Nội,23,2,0,13.0,31.0,26993500.0,Khách VIP,Đang hoạt động
C00106,29,Nam,Hà Nội,20,0,0,14.0,43.0,45551500.0,Khách VIP,Đang hoạt động
C00107,67,Nữ,Hà Nội,40,4,0,1.0,41.0,33943250.0,Khách VIP,Đang hoạt động
C00108,65,Nam,Đà Nẵng,44,1,0,3.0,36.0,26516400.0,Khách VIP,Đang hoạt động
C00109,19,Nữ,Hải Phòng,57,1,0,2.0,42.0,39499500.0,Khách VIP,Đang hoạt động
C00110,35,Nam,Hà Nội,9,1,0,22.0,35.0,37516100.0,Khách VIP,Đang hoạt động
C00111,24,Nam,Hà Nội,51,2,0,13.0,30.0,28685700.0,Khách VIP,Đang hoạt động
C00112,26,Nam,TP HCM,5,1,0,5.0,47.0,45881900.0,Khách VIP,Đang hoạt động
C00113,39,Nam,TP HCM,18,1,0,17.0,30.0,27104550.0,Khách VIP,Đang hoạt động
C00114,34,Nam,Cần Thơ,23,0,0,5.0,43.0,35967610.0,Khách VIP,Đang hoạt động
C00115,65,Nữ,Đà Nẵng,27,0,0,2.0,52.0,59863700.0,Khách VIP,Đang hoạt động
C00116,26,Nam,TP HCM,24,0,0,21.0,29.0,45011032.0,Khách VIP,Đang hoạt động
C00117,49,Nữ,Cần Thơ,57,0,0,4.0,40.0,33244100.0,Khách VIP,Đang hoạt động
C00118,58,Nữ,Cần Thơ,8,1,0,1.0,41.0,38587600.0,Khách VIP,Đang hoạt động
C00119,42,Nam,Hà Nội,33,2,0,26.0,37.0,32099150.0,Khách VIP,Đang hoạt động
C00120,52,Nam,TP HCM,19,2,0,3.0,36.0,42291150.0,Khách VIP,Đang hoạt động
C00121,18,Nam,TP HCM,40,1,0,10.0,30.0,31050550.0,Khách VIP,Đang hoạt động
C00122,50,Nam,TP HCM,29,2,0,2.0,46.0,49848700.0,Khách VIP,Đang hoạt động
C00123,55,Nam,Hải Phòng,44,1,0,9.0,37.0,39308500.0,Khách VIP,Đang hoạt động
C00124,68,Nam,TP HCM,9,1,0,1.0,38.0,35206050.0,Khách VIP,Đang hoạt động
C00125,38,Nữ,TP HCM,17,0,0,1.0,37.0,34652750.0,Khách VIP,Đang hoạt động
C00126,26,Nam,Hà Nội,1,0,0,3.0,39.0,34233100.0,Khách VIP,Đang hoạt động
C00127,30,Nữ,Cần Thơ,47,2,0,3.0,40.0,48575400.0,Khách VIP,Đang hoạt động
C00128,37,Nam,Hà Nội,20,1,0,29.0,26.0,39690660.0,Trung bình,Đang hoạt động
C00129,19,Nam,TP HCM,2,2,0,15.0,37.0,36623383.0,Khách VIP,Đang hoạt động
C00130,41,Nam,Hà Nội,3,0,0,8.0,46.0,39185250.0,Khách VIP,Đang hoạt động
C00131,18,Nam,Cần Thơ,27,0,0,1.0,30.0,29730350.0,Khách VIP,Đang hoạt động
C00132,47,Nam,Hà Nội,12,1,0,1.0,41.0,40021550.0,Khách VIP,Đang hoạt động
C00133,29,Nữ,TP HCM,13,1,0,3.0,45.0,56981096.0,Khách VIP,Đang hoạt động
C00134,23,Nữ,TP HCM,27,1,0,16.0,28.0,24669150.0,Khách VIP,Đang hoạt động
C00135,37,Nữ,Đà Nẵng,36,1,0,9.0,20.0,16034150.0,Khách VIP,Đang hoạt động
C00136,45,Nữ,TP HCM,20,0,0,25.0,30.0,30201955.0,Khách VIP,Đang hoạt động
C00137,38,Nam,Đà Nẵng,34,0,0,1.0,33.0,35347000.0,Khách VIP,Đang hoạt động
C00138,36,Nữ,TP HCM,17,0,0,7.0,29.0,25877600.0,Khách VIP,Đang hoạt động
C00139,47,Nữ,TP HCM,60,0,0,15.0,26.0,14923150.0,Khách VIP,Đang hoạt động
C00140,30,Nữ,Đà Nẵng,17,3,0,7.0,29.0,26510158.0,Khách VIP,Đang hoạt động
C00141,55,Nữ,Hải Phòng,13,2,0,51.0,33.0,33727050.0,Trung bình,Đang hoạt động
C00142,24,Nam,Cần Thơ,23,4,0,3.0,31.0,48124109.0,Khách VIP,Đang hoạt động
C00143,38,Nam,TP HCM,51,3,0,8.0,42.0,38021900.0,Khách VIP,Đang hoạt động
C00144,60,Nữ,Đà Nẵng,15,0,0,14.0,30.0,27375259.0,Khách VIP,Đang hoạt động
C00145,36,Nữ,Đà Nẵng,16,1,0,14.0,28.0,23313100.0,Khách VIP,Đang hoạt động
C00146,26,Nữ,Cần Thơ,60,0,0,18.0,36.0,38140650.0,Khách VIP,Đang hoạt động
C00147,54,Nam,Cần Thơ,41,1,0,16.0,32.0,38451834.0,Khách VIP,Đang hoạt động
C00148,49,Nam,Hải Phòng,32,0,0,5.0,34.0,25716700.0,Khách VIP,Đang hoạt động
C00149,52,Nam,Cần Thơ,39,3,0,29.0,30.0,23519550.0,Trung bình,Đang hoạt động
C00150,47,Nam,Đà Nẵng,18,3,0,8.0,26.0,32332739.847608235,Khách VIP,Đang hoạt động
C00151,19,Nữ,Cần Thơ,3,2,0,7.0,31.0,27085100.0,Khách VIP,Đang hoạt động
C00152,66,Nữ,Hải Phòng,27,0,0,34.0,27.0,25967700.0,Trung bình,Đang hoạt động
C00153,20,Nam,TP HCM,32,3,0,2.0,24.0,16133700.0,Khách VIP,Đang hoạt động
C00154,67,Nữ,Hải Phòng,43,2,0,1.0,22.0,24018600.0,Khách VIP,Đang hoạt động
C00155,57,Nam,Đà Nẵng,56,3,0,8.0,31.0,24203100.0,Khách VIP,Đang hoạt động
C00156,58,Nam,TP HCM,2,2,0,42.0,21.0,20506700.0,Trung bình,Đang hoạt động
C00157,60,Nữ,Đà Nẵng,53,0,0,6.0,35.0,33298600.0,Khách VIP,Đang hoạt động
C00158,68,Nam,Đà Nẵng,52,1,0,4.0,32.0,25375750.0,Khách VIP,Đang hoạt động
C00159,22,Nam,TP HCM,56,0,0,6.0,25.0,29320450.0,Khách VIP,Đang hoạt động
C00160,38,Nam,Hải Phòng,42,2,0,34.0,35.0,34225250.0,Trung bình,Đang hoạt động
C00161,34,Nữ,TP HCM,8,0,0,8.0,29.0,25411400.0,Khách VIP,Đang hoạt động
C00162,60,Nam,TP HCM,2,1,0,1.0,29.0,32816550.0,Khách VIP,Đang hoạt động
C00163,58,Nữ,Đà Nẵng,30,2,0,4.0,33.0,23311900.0,Khách VIP,Đang hoạt động
C00164,35,Nam,Hà Nội,7,2,0,5.0,33.0,45039309.281611145,Khách VIP,Đang hoạt động
C00165,57,Nam,TP HCM,52,1,0,2.0,41.0,36978767.0,Khách VIP,Đang hoạt động
C00166,21,Nữ,TP HCM,41,3,0,2.0,40.0,35657800.0,Khách VIP,Đang hoạt động
C00167,28,Nam,Cần Thơ,7,1,0,11.0,32.0,33579000.0,Khách VIP,Đang hoạt động
C00168,65,Nữ,TP HCM,59,1,0,15.0,34.0,31674550.0,Khách VIP,Đang hoạt động
C00169,51,Nữ,Hải Phòng,50,1,0,7.0,34.0,31014523.0,Khách VIP,Đang hoạt động
C00170,31,Nữ,Đà Nẵng,35,0,0,3.0,41.0,40599734.0,Khách VIP,Đang hoạt động
C00171,24,Nữ,Cần Thơ,47,0,0,9.0,33.0,51440828.0,Khách VIP,Đang hoạt động
C00172,56,Nam,Hải Phòng,36,2,0,10.0,27.0,25547000.0,Khách VIP,Đang hoạt động
C00173,26,Nữ,Hà Nội,53,1,0,21.0,25.0,27344488.0,Khách VIP,Đang hoạt động
C00174,22,Nam,Hà Nội,46,2,0,13.0,28.0,24038100.0,Khách VIP,Đang hoạt động
C00175,66,Nữ,Hà Nội,60,1,0,6.0,39.0,40036350.0,Khách VIP,Đang hoạt động
C00176,45,Nữ,Đà Nẵng,55,1,0,17.0,35.0,29129200.0,Khách VIP,Đang hoạt động
C00177,44,Nam,TP HCM,4,0,0,25.0,25.0,41127299.0,Khách VIP,Đang hoạt động
C00178,53,Nam,Đà Nẵng,22,2,0,6.0,28.0,26743650.0,Khách VIP,Đang hoạt động
C00179,46,Nam,TP HCM,19,0,0,16.0,37.0,42882867.0,Khách VIP,Đang hoạt động
C00180,57,Nam,Hà Nội,37,1,0,6.0,41.0,43929450.0,Khách VIP,Đang hoạt động
C00181,29,Nữ,Hà Nội,37,0,0,8.0,33.0,39217500.0,Khách VIP,Đang hoạt động
C00182,54,Nam,Cần Thơ,43,0,0,3.0,31.0,32139688.0,Khách VIP,Đang hoạt động
C00183,66,Nữ,Đà Nẵng,38,0,0,6.0,29.0,58915973.0,Khách VIP,Đang hoạt động
C00184,53,Nữ,Hà Nội,59,2,0,16.0,30.0,36314458.0,Khách VIP,Đang hoạt động
C00185,65,Nữ,TP HCM,38,1,0,4.0,24.0,27801222.0,Khách VIP,Đang hoạt động
C00186,51,Nam,Đà Nẵng,59,2,0,10.0,24.0,15759050.0,Khách VIP,Đang hoạt động
C00187,25,Nam,Hà Nội,22,1,0,8.0,28.0,24268500.0,Khách VIP,Đang hoạt động
C00188,30,Nữ,Đà Nẵng,22,3,0,13.0,20.0,20515900.0,Khách VIP,Đang hoạt động
C00189,18,Nữ,Hà Nội,16,2,0,18.0,23.0,22893100.0,Khách VIP,Đang hoạt động
C00190,60,Nữ,Hà Nội,49,3,0,4.0,32.0,33446946.0,Khách VIP,Đang hoạt động
C00191,40,Nam,TP HCM,6,0,0,6.0,22.0,17176550.0,Khách VIP,Đang hoạt động
C00192,40,Nữ,Hà Nội,31,0,0,16.0,24.0,24809650.0,Khách VIP,Đang hoạt động
C00193,41,Nữ,Đà Nẵng,12,0,0,5.0,28.0,32884800.536917794,Khách VIP,Đang hoạt động
C00194,33,Nữ,Hà Nội,43,3,0,17.0,27.0,29005560.0,Khách VIP,Đang hoạt động
C00195,22,Nam,Hà Nội,2,1,0,5.0,30.0,35014698.52672256,Khách VIP,Đang hoạt động
C00196,47,Nữ,TP HCM,5,5,0,12.0,20.0,22790650.0,Khách VIP,Đang hoạt động
C00197,62,Nam,Hà Nội,1,1,0,20.0,22.0,10036050.0,Khách VIP,Đang hoạt động
C00198,25,Nữ,TP HCM,16,2,0,12.0,25.0,20899150.0,Khách VIP,Đang hoạt động
C00199,32,Nam,Cần Thơ,43,0,0,7.0,21.0,17980650.0,Khách VIP,Đang hoạt động
C00200,24,Nam,TP HCM,57,2,0,2.0,26.0,18297600.0,Khách VIP,Đang hoạt động
C00201,69,Nữ,TP HCM,29,0,0,5.0,34.0,43092500.0,Khách VIP,Đang hoạt động
C00202,44,Nam,TP HCM,17,0,0,4.0,30.0,33735700.0,Khách VIP,Đang hoạt động
C00203,43,Nữ,Hà Nội,22,4,0,16.0,24.0,25733350.0,Khách VIP,Đang hoạt động
C00204,67,Nam,TP HCM,54,1,0,4.0,33.0,47645521.59038728,Khách VIP,Đang hoạt động
C00205,43,Nam,TP HCM,31,2,0,37.0,25.0,28070226.0,Trung bình,Đang hoạt động
C00206,27,Nam,Hà Nội,46,1,0,24.0,26.0,50222517.0,Khách VIP,Đang hoạt động
C00207,40,Nam,TP HCM,36,2,0,40.0,28.0,25311800.0,Trung bình,Đang hoạt động
C00208,33,Nam,TP HCM,9,3,0,18.0,26.0,28768600.0,Khách VIP,Đang hoạt động
C00209,47,Nam,Hà Nội,49,0,0,5.0,17.0,25578145.0,Khách VIP,Đang hoạt động
C00210,59,Nam,TP HCM,46,0,0,15.0,25.0,21554100.0,Khách VIP,Đang hoạt động
C00211,23,Nam,Cần Thơ,16,1,0,1.0,31.0,27427150.0,Khách VIP,Đang hoạt động
C00212,43,Nữ,Cần Thơ,18,0,0,7.0,18.0,28867227.0,Khách VIP,Đang hoạt động
C00213,54,Nam,TP HCM,16,3,0,5.0,31.0,23800300.0,Khách VIP,Đang hoạt động
C00214,46,Nữ,TP HCM,32,1,0,2.0,22.0,36865630.0,Khách VIP,Đang hoạt động
C00215,64,Nữ,TP HCM,20,1,0,2.0,27.0,23343200.0,Khách VIP,Đang hoạt động
C00216,36,Nam,Đà Nẵng,18,0,0,4.0,27.0,27198602.0,Khách VIP,Đang hoạt động
C00217,68,Nữ,Cần Thơ,22,2,0,22.0,22.0,26479500.0,Khách VIP,Đang hoạt động
C00218,64,Nữ,Hà Nội,32,2,0,6.0,31.0,43074689.56011802,Khách VIP,Đang hoạt động
C00219,22,Nam,TP HCM,22,2,0,5.0,30.0,37075650.0,Khách VIP,Đang hoạt động
C00220,56,Nữ,Hải Phòng,13,1,0,9.0,20.0,17840450.0,Khách VIP,Đang hoạt động
C00221,65,Nữ,Cần Thơ,25,1,0,26.0,26.0,22507700.0,Khách VIP,Đang hoạt động
C00222,35,Nam,Hà Nội,53,0,0,17.0,33.0,30758150.0,Khách VIP,Đang hoạt động
C00223,63,Nam,TP HCM,6,0,0,31.0,27.0,24710750.0,Trung bình,Đang hoạt động
C00224,35,Nữ,Hải Phòng,47,2,0,10.0,24.0,15386350.0,Khách VIP,Đang hoạt động
C00225,41,Nam,TP HCM,1,1,0,40.0,27.0,31620600.0,Trung bình,Đang hoạt động
C00226,58,Nam,Hà Nội,41,1,0,1.0,31.0,42054722.0,Khách VIP,Đang hoạt động
C00227,44,Nữ,Hà Nội,15,0,0,68.0,27.0,24189100.0,Nguy cơ rời bỏ,Đang hoạt động
C00228,37,Nữ,TP HCM,3,3,0,39.0,23.0,32278100.0,Trung bình,Đang hoạt động
C00229,70,Nữ,Hà Nội,37,3,0,2.0,21.0,20931400.0,Khách VIP,Đang hoạt động
C00230,28,Nữ,TP HCM,56,0,0,36.0,21.0,26704600.0,Trung bình,Đang hoạt động
C00231,34,Nam,TP HCM,29,4,1,25.0,20.0,12707300.0,Khách VIP,Đã rời bỏ
C00232,21,Nam,Cần Thơ,28,0,0,25.0,24.0,23890800.0,Khách VIP,Đang hoạt động
C00233,21,Nam,Cần Thơ,8,0,0,20.0,20.0,16068850.0,Khách VIP,Đang hoạt động
C00234,55,Nữ,Đà Nẵng,41,3,0,20.0,26.0,36010056.0,Khách VIP,Đang hoạt động
C00235,61,Nam,TP HCM,30,1,0,33.0,20.0,16124050.0,Trung bình,Đang hoạt động
C00236,50,Nam,Hà Nội,32,1,0,13.0,27.0,31174853.0,Khách VIP,Đang hoạt động
C00237,42,Nữ,Hà Nội,57,0,0,10.0,25.0,22926550.0,Khách VIP,Đang hoạt động
C00238,35,Nữ,TP HCM,14,1,0,26.0,23.0,28584750.0,Khách VIP,Đang hoạt động
C00239,53,Nam,Cần Thơ,25,0,0,18.0,23.0,14583200.0,Khách VIP,Đang hoạt động
C00240,53,Nữ,Cần Thơ,4,0,0,1.0,29.0,26750500.0,Khách VIP,Đang hoạt động
C00241,18,Nam,Cần Thơ,21,3,0,17.0,29.0,28269250.0,Khách VIP,Đang hoạt động
C00242,45,Nam,TP HCM,52,1,0,5.0,17.0,19657319.0,Khách VIP,Đang hoạt động
C00243,62,Nữ,TP HCM,40,1,0,10.0,15.0,15195150.0,Khách VIP,Đang hoạt động
C00244,25,Nam,Hải Phòng,55,3,0,26.0,22.0,21198900.0,Khách VIP,Đang hoạt động
C00245,27,Nữ,Hà Nội,47,0,0,14.0,18.0,16755983.0,Khách VIP,Đang hoạt động
C00246,35,Nam,Cần Thơ,13,3,0,17.0,23.0,19646200.0,Khách VIP,Đang hoạt động
C00247,45,Nam,Đà Nẵng,50,1,0,11.0,16.0,17100550.0,Khách VIP,Đang hoạt động
C00248,24,Nữ,TP HCM,3,0,0,3.0,24.0,21650950.0,Khách VIP,Đang hoạt động
C00249,33,Nữ,Hà Nội,26,2,0,7.0,21.0,35864395.0,Khách VIP,Đang hoạt động
C00250,33,Nam,Hải Phòng,57,0,0,3.0,13.0,16706200.0,Khách VIP,Đang hoạt động
C00251,43,Nữ,TP HCM,2,2,0,11.0,26.0,28080050.0,Khách VIP,Đang hoạt động
C00252,19,Nam,Hà Nội,8,3,0,22.0,19.0,19677650.0,Khách VIP,Đang hoạt động
C00253,60,Nữ,Hải Phòng,8,3,1,50.0,19.0,10925200.0,Trung bình,Đã rời bỏ
C00254,19,Nữ,Hải Phòng,33,4,0,7.0,31.0,36093135.0,Khách VIP,Đang hoạt động
C00255,46,Nam,Hà Nội,36,2,0,10.0,23.0,14094850.0,Khách VIP,Đang hoạt động
C00256,70,Nam,Đà Nẵng,36,2,0,9.0,30.0,24278150.0,Khách VIP,Đang hoạt động
C00257,20,Nữ,TP HCM,60,0,0,11.0,28.0,26118150.0,Khách VIP,Đang hoạt động
C00258,23,Nữ,Đà Nẵng,39,4,0,2.0,25.0,40647943.0,Khách VIP,Đang hoạt động
