transaction_id,date,customer_id,category,branch,channel,payment_method,status,quantity,amount,cost,gio
T0000030,2025-01-01,C00843,Sách,Hà Nội,Online,THE,HOAN_TAT,1,112200,81278,11
T0000031,2025-01-01,C01312,Mỹ phẩm,Hải Phòng,Online,TIEN_MAT,HOAN_TAT,1,464000,381443,11
T0000032,2025-01-01,C06367,Thời trang,Hà Nội,Online,TIEN_MAT,HOAN_TAT,3,2034000,1340360,11
T0000033,2025-01-01,C04070,Thời trang,Cần Thơ,Online,VI_DIEN_TU,HOAN_TAT,1,542300,363737,11
T0000034,2025-01-01,C03005,Thực phẩm,Đà Nẵng,Online,THE,HOAN_TAT,4,700000,505971,11
T0000035,2025-01-01,C00544,Điện tử,TP HCM,Cửa hàng,THE,HOAN_TAT,1,969000,598072,11
T0000036,2025-01-01,C00066,Mỹ phẩm,TP HCM,Online,TIEN_MAT,HOAN_TAT,1,434000,280429,11
T0000037,2025-01-01,C00491,Điện tử,Hà Nội,Cửa hàng,THE,HOAN_TAT,1,984200,670339,11
T0000038,2025-01-01,C02493,Thực phẩm,Hà Nội,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,1,177000,127653,12
T0000039,2025-01-01,C00389,Thực phẩm,Hà Nội,Online,VI_DIEN_TU,HOAN_TAT,3,448200,377874,12
T0000040,2025-01-01,C03728,Thời trang,Cần Thơ,Online,VI_DIEN_TU,HOAN_TAT,1,851000,634066,12
T0000041,2025-01-01,C00087,Thời trang,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TRA,3,2532000,1528579,12
T0000042,2025-01-01,C02063,Thực phẩm,Cần Thơ,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,1,166000,120357,12
T0000043,2025-01-01,C00315,Điện tử,Hà Nội,Online,CHUYEN_KHOAN,HOAN_TAT,1,1028850,723288,12
T0000044,2025-01-01,C00665,Gia dụng,Cần Thơ,Online,TIEN_MAT,HOAN_TAT,1,833150,532234,12
T0000045,2025-01-01,C00025,Điện tử,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,2,1992000,1534249,12
T0000046,2025-01-01,C00011,Mỹ phẩm,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,1,498000,327243,13
T0000047,2025-01-01,C06816,Điện tử,TP HCM,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,1,1073000,870233,13
T0000048,2025-01-01,C00002,Mỹ phẩm,Hà Nội,Cửa hàng,TIEN_MAT,HOAN_TAT,3,1236000,810392,13
T0000049,2025-01-01,C00093,Điện tử,Hải Phòng,Cửa hàng,VI_DIEN_TU,HOAN_TAT,4,4076000,3123802,13
T0000050,2025-01-01,C00050,Sách,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,135000,97794,13
T0000051,2025-01-01,C00571,Thực phẩm,TP HCM,Online,THE,HOAN_TAT,3,591000,437332,13
T0000052,2025-01-01,C00329,Sách,TP HCM,Online,TIEN_MAT,HOAN_TAT,1,126650,95333,13
T0000053,2025-01-01,C00446,Thực phẩm,Hà Nội,Cửa hàng,VI_DIEN_TU,HOAN_TAT,2,324000,266525,14
T0000054,2025-01-01,C01982,Thời trang,TP HCM,Online,TIEN_MAT,HOAN_TAT,1,765000,553120,14
T0000055,2025-01-01,C00289,Thời trang,Hà Nội,Cửa hàng,TIEN_MAT,HOAN_TAT,2,1470000,972164,14
T0000056,2025-01-01,C02196,Gia dụng,Đà Nẵng,Cửa hàng,THE,HOAN_TAT,1,831000,597210,14
T0000057,2025-01-01,C01120,Mỹ phẩm,TP HCM,Online,TIEN_MAT,HOAN_TAT,4,1660600,1199361,14
T0000058,2025-01-01,C00001,Thời trang,TP HCM,Online,CHUYEN_KHOAN,HOAN_TAT,3,2343000,1989919,14
T0000059,2025-01-01,C00014,Gia dụng,Hải Phòng,Online,VI_DIEN_TU,HOAN_TAT,1,884450,711129,14
T0000060,2025-01-01,C00132,Gia dụng,Hà Nội,Cửa hàng,TIEN_MAT,HOAN_TAT,1,846000,642452,14
T0000061,2025-01-01,C02782,Thực phẩm,Cần Thơ,Online,VI_DIEN_TU,HOAN_TAT,1,161000,111076,15
T0000062,2025-01-01,C03922,Sách,TP HCM,Online,THE,HOAN_TAT,3,354450,253116,15
T0000063,2025-01-01,C05389,Sách,TP HCM,Cửa hàng,KHONG_RO,HOAN_TAT,1,119850,84751,15
T0000064,2025-01-01,C00531,Gia dụng,TP HCM,Cửa hàng,THE,HOAN_TAT,1,852300,523975,15
T0000065,2025-01-01,C00029,Thời trang,TP HCM,Online,THE,HOAN_TAT,1,777000,640594,15
T0000066,2025-01-01,C00057,Điện tử,Hải Phòng,Cửa hàng,THE,HOAN_TAT,3,3720000,2584621,15
T0000067,2025-01-01,C01485,Gia dụng,Hải Phòng,Online,THE,HOAN_TAT,1,804000,671499,15
T0000068,2025-01-01,C00057,Sách,Đà Nẵng,Cửa hàng,THE,HOAN_TAT,2,315400,225797,16
T0000069,2025-01-01,C07151,Điện tử,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,1196000,736650,16
T0000070,2025-01-01,C01150,Thực phẩm,Hải Phòng,Online,THE,HOAN_TAT,4,775200,517757,16
T0000071,2025-01-01,C01263,Điện tử,TP HCM,Online,THE,HOAN_TAT,1,912600,698633,16
T0000072,2025-01-01,C01677,Điện tử,Cần Thơ,Cửa hàng,THE,HOAN_TAT,1,1184650,993866,16
T0000073,2025-01-01,C06103,Điện tử,Hà Nội,Cửa hàng,THE,HOAN_TAT,2,2188800,1535423,16
T0000074,2025-01-01,C04585,Điện tử,TP HCM,Online,KHONG_RO,HOAN_TAT,3,3531000,2419000,16
T0000075,2025-01-01,C01541,Thực phẩm,Hải Phòng,Cửa hàng,VI_DIEN_TU,HOAN_TAT,3,415650,251495,16
T0000076,2025-01-01,C00368,Mỹ phẩm,TP HCM,Cửa hàng,THE,HOAN_TAT,1,439000,317066,16
T0000077,2025-01-01,C00004,Điện tử,Hải Phòng,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,1,1263000,948260,16
T0000078,2025-01-01,C01771,Sách,Hà Nội,Cửa hàng,VI_DIEN_TU,HOAN_TAT,2,291600,175040,17
T0000079,2025-01-01,C03134,Thời trang,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,3,2511000,1507284,17
T0000080,2025-01-01,C00013,Điện tử,TP HCM,Online,CHUYEN_KHOAN,HOAN_TAT,2,2042000,1536320,17
T0000081,2025-01-01,C02708,Gia dụng,Hải Phòng,Online,TIEN_MAT,HOAN_TAT,1,848000,658282,17
T0000082,2025-01-01,C02295,Gia dụng,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,3,2571000,2179422,17
T0000083,2025-01-01,C00318,Sách,TP HCM,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,5,660250,410541,17
T0000084,2025-01-01,C05850,Thời trang,Đà Nẵng,Online,TIEN_MAT,HOAN_TAT,1,670000,414057,17
T0000085,2025-01-01,C06316,Gia dụng,Hà Nội,Cửa hàng,TIEN_MAT,HOAN_TAT,2,1538000,1064816,18
T0000086,2025-01-01,C03898,Điện tử,Cần Thơ,Cửa hàng,TIEN_MAT,HOAN_TAT,2,1976000,1455944,18
T0000087,2025-01-01,C00091,Điện tử,Cần Thơ,Cửa hàng,TIEN_MAT,HOAN_TAT,1,966600,730210,18
T0000088,2025-01-01,C07702,Thực phẩm,Hà Nội,Online,TIEN_MAT,HOAN_TAT,1,138600,114123,18
T0000089,2025-01-01,C00137,Điện tử,Đà Nẵng,Online,TIEN_MAT,HOAN_TAT,3,3112200,2431142,18
T0000090,2025-01-01,C06868,Thực phẩm,Hà Nội,Online,KHONG_RO,HOAN_TAT,2,362000,250594,18
T0000091,2025-01-01,C02030,Thực phẩm,Hải Phòng,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,3,534000,399901,18
T0000092,2025-01-01,C02033,Thời trang,Cần Thơ,Online,VI_DIEN_TU,HOAN_TAT,5,3657500,2957837,19
T0000093,2025-01-01,C00286,Điện tử,TP HCM,Online,VI_DIEN_TU,HOAN_TAT,1,964000,708965,19
T0000094,2025-01-01,C02158,Thực phẩm,Hải Phòng,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,2,400000,320619,19
T0000095,2025-01-01,C05148,Thực phẩm,Hà Nội,Online,TIEN_MAT,HOAN_TAT,3,495000,357794,19
T0000096,2025-01-01,C00002,Sách,TP HCM,Online,VI_DIEN_TU,HOAN_TRA,3,441000,302875,19
T0000097,2025-01-01,C01548,Thực phẩm,TP HCM,Online,VI_DIEN_TU,HOAN_TAT,1,199000,143840,19
T0000098,2025-01-01,C03591,Thực phẩm,TP HCM,Online,VI_DIEN_TU,HOAN_TAT,1,191000,138058,19
T0000099,2025-01-01,C02381,Điện tử,Đà Nẵng,Cửa hàng,THE,HOAN_TAT,4,4457400,3669668,20
T0000100,2025-01-01,C01374,Thời trang,Hải Phòng,Cửa hàng,TIEN_MAT,HOAN_TAT,4,3268000,1989180,20
T0000101,2025-01-01,C00508,Thực phẩm,Hà Nội,Online,THE,HOAN_TAT,3,522750,377852,20
T0000102,2025-01-01,C02912,Thời trang,Cần Thơ,Online,TIEN_MAT,HOAN_TAT,2,1227400,887451,20
T0000103,2025-01-01,C06892,Thời trang,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,1,861000,645765,20
T0000104,2025-01-01,C02872,Sách,Hải Phòng,Online,THE,HOAN_TAT,2,338000,244848,20
T0000105,2025-01-01,C06383,Sách,TP HCM,Cửa hàng,THE,HOAN_TAT,1,133000,108589,20
T0000106,2025-01-01,C07996,Gia dụng,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,797000,605380,20
T0000107,2025-01-01,C00016,Gia dụng,Đà Nẵng,Online,VI_DIEN_TU,HOAN_TAT,1,890000,641856,21
T0000108,2025-01-01,C03555,Mỹ phẩm,Hà Nội,Cửa hàng,THE,HOAN_TAT,2,1068000,803946,21
T0000109,2025-01-01,C00039,Thời trang,Hà Nội,Online,THE,HOAN_TAT,1,721050,587039,21
T0000110,2025-01-01,C03248,Mỹ phẩm,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,1,456950,382105,21
T0000111,2025-01-01,C00566,Thực phẩm,Hà Nội,Cửa hàng,THE,HOAN_TAT,2,302100,252824,21
T0000112,2025-01-01,C00538,Mỹ phẩm,Hà Nội,Cửa hàng,THE,HOAN_TAT,1,512000,384081,21
T0000113,2025-01-01,C00053,Điện tử,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,1,1099000,832962,21
T0000114,2025-01-01,C00151,Thực phẩm,TP HCM,Online,THE,HOAN_TAT,1,142200,95140,22
T0000115,2025-01-01,C01771,Thực phẩm,TP HCM,Cửa hàng,KHONG_RO,HOAN_TAT,1,181800,115613,22
T0000116,2025-01-01,C03914,Điện tử,Hà Nội,Online,TIEN_MAT,HOAN_TAT,1,1013000,733189,22
T0000117,2025-01-01,C01359,Gia dụng,Hải Phòng,Online,THE,HOAN_TAT,1,858000,598989,22
T0000118,2025-01-01,C00527,Điện tử,Cần Thơ,Online,VI_DIEN_TU,HOAN_TAT,5,6050000,4900208,22
T0000119,2025-01-01,C00003,Điện tử,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,1,1157000,965541,22
T0000120,2025-01-01,C00335,Mỹ phẩm,Đà Nẵng,Online,TIEN_MAT,HOAN_TAT,1,441000,349646,22
T0000121,2025-01-01,C00286,Mỹ phẩm,Hà Nội,Cửa hàng,THE,HOAN_TAT,2,1046900,859394,22
T0000122,2025-01-01,C01914,Sách,Hà Nội,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,1,117900,77964,22
T0000123,2025-01-01,C04514,Mỹ phẩm,TP HCM,Online,VI_DIEN_TU,HOAN_TAT,2,941400,757924,22
T0000124,2025-01-01,C03492,Sách,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,3,421800,274971,23
T0000125,2025-01-01,C02115,Mỹ phẩm,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,397100,298773,23
T0000126,2025-01-01,C00196,Gia dụng,TP HCM,Online,CHUYEN_KHOAN,HOAN_TAT,2,1568000,1111447,23
T0000127,2025-01-01,C00984,Gia dụng,Hà Nội,Online,TIEN_MAT,HOAN_TAT,3,2229000,1607524,23
T0000128,2025-01-01,C02082,Sách,Hải Phòng,Cửa hàng,THE,HOAN_TAT,5,680000,550189,23
T0000129,2025-01-01,C02853,Thực phẩm,Đà Nẵng,Online,THE,HOAN_TAT,2,400000,319779,23
T0000130,2025-01-01,C00023,Thời trang,Hải Phòng,Online,THE,HOAN_TAT,4,2812000,2033170,23
T0000131,2025-01-02,C00748,Thực phẩm,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,185000,127580,0
T0000132,2025-01-02,C02621,Gia dụng,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,773000,557477,0
T0000133,2025-01-02,C00387,Gia dụng,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,784000,589131,0
T0000134,2025-01-02,C01853,Thời trang,Hà Nội,Online,CHUYEN_KHOAN,HOAN_TAT,2,1288800,1005414,0
T0000135,2025-01-02,C01981,Thực phẩm,TP HCM,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,2,387600,326575,0
T0000136,2025-01-02,C00221,Thực phẩm,Hà Nội,Online,THE,HOAN_TAT,4,656000,417305,0
T0000137,2025-01-02,C01493,Thực phẩm,TP HCM,Online,TIEN_MAT,HOAN_TAT,2,376000,291990,0
T0000138,2025-01-02,C00129,Thực phẩm,Hải Phòng,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,173000,109370,0
T0000139,2025-01-02,C05700,Thực phẩm,Hà Nội,Online,CHUYEN_KHOAN,HOAN_TAT,3,480000,336291,0
T0000140,2025-01-02,C01604,Thời trang,Đà Nẵng,Cửa hàng,THE,HOAN_TAT,1,685800,453949,0
T0000141,2025-01-02,C00007,Thực phẩm,Cần Thơ,Online,THE,HOAN_TAT,2,346000,255692,1
T0000142,2025-01-02,C03694,Mỹ phẩm,Hà Nội,Online,TIEN_MAT,HOAN_TAT,4,2132000,1629630,1
T0000143,2025-01-02,C02300,Thực phẩm,Hà Nội,Cửa hàng,THE,HOAN_TAT,2,404000,269559,1
T0000172,2025-01-02,C02301,Mỹ phẩm,Đà Nẵng,Online,VI_DIEN_TU,HOAN_TAT,1,7677313,5374119,1
T0000144,2025-01-02,C07292,Mỹ phẩm,Đà Nẵng,Cửa hàng,THE,HOAN_TAT,1,490000,332328,1
T0000278,2025-01-02,C03651,Thực phẩm,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,1421736,995215,1
T0000145,2025-01-02,C05652,Sách,Hà Nội,Cửa hàng,TIEN_MAT,HOAN_TAT,1,140000,101204,1
T0000146,2025-01-02,C00099,Sách,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,1,151000,122281,1
T0000147,2025-01-02,C05027,Thời trang,Hà Nội,Cửa hàng,CHUYEN_KHOAN,HOAN_TRA,2,1504800,906579,1
T0000148,2025-01-02,C05649,Thực phẩm,Cần Thơ,Online,TIEN_MAT,HOAN_TAT,1,189000,136612,1
T0000149,2025-01-02,C00042,Thực phẩm,Đà Nẵng,Cửa hàng,THE,HOAN_TAT,4,628000,388792,2
T0000150,2025-01-02,C00033,Thực phẩm,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,148200,93476,2
T0000175,2025-01-02,C01951,Thực phẩm,Hà Nội,Cửa hàng,VI_DIEN_TU,HOAN_TRA,1,2642133,1849493,2
T0000151,2025-01-02,C00830,Gia dụng,Hải Phòng,Cửa hàng,THE,HOAN_TAT,1,761000,474382,2
T0000272,2025-01-02,C05735,Sách,TP HCM,Online,VI_DIEN_TU,HOAN_TAT,1,1372994,961096,2
T0000152,2025-01-02,C00260,Gia dụng,Hà Nội,Cửa hàng,TIEN_MAT,HOAN_TAT,1,866000,576062,2
T0000153,2025-01-02,C00072,Điện tử,Cần Thơ,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,1,940500,615025,2
T0000154,2025-01-02,C05492,Thời trang,Hà Nội,Cửa hàng,VI_DIEN_TU,HOAN_TAT,2,1318600,1115025,2
T0000155,2025-01-02,C06399,Điện tử,TP HCM,Online,TIEN_MAT,HOAN_TAT,1,998100,807474,2
T0000156,2025-01-02,C01871,Thực phẩm,Hà Nội,Cửa hàng,THE,HOAN_TAT,2,347700,227420,3
T0000157,2025-01-02,C00398,Điện tử,TP HCM,Cửa hàng,THE,HOAN_TAT,1,1146650,887224,3
T0000158,2025-01-02,C00717,Điện tử,Đà Nẵng,Cửa hàng,THE,HOAN_TAT,2,2158000,1757647,3
T0000159,2025-01-02,C00001,Thực phẩm,TP HCM,Online,CHUYEN_KHOAN,HOAN_TAT,1,195000,140949,3
T0000160,2025-01-02,C00022,Sách,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,5,655000,526076,3
T0000161,2025-01-02,C02942,Thực phẩm,Hải Phòng,Cửa hàng,THE,HOAN_TAT,1,172900,119977,3
T0000162,2025-01-02,C00017,Mỹ phẩm,Hà Nội,Cửa hàng,TIEN_MAT,HOAN_TAT,2,891100,568607,3
T0000163,2025-01-02,C03045,Điện tử,Hà Nội,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,1,1240000,976416,4
T0000164,2025-01-02,C00283,Thực phẩm,Hà Nội,Cửa hàng,THE,HOAN_TRA,1,191000,139537,4
T0000165,2025-01-02,C00023,Điện tử,Hải Phòng,Online,VI_DIEN_TU,HOAN_TAT,1,1163000,721356,4
T0000166,2025-01-02,C01142,Gia dụng,Hà Nội,Online,TIEN_MAT,HOAN_TAT,1,905350,710386,4
T0000167,2025-01-02,C00011,Điện tử,Đà Nẵng,Online,THE,HOAN_TAT,2,2032000,1493008,4
T0000168,2025-01-02,C01910,Điện tử,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,3,3555000,2742158,4
T0000169,2025-01-02,C00112,Thời trang,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,2,1580800,1309469,4
T0000170,2025-01-02,C00050,Thời trang,Hà Nội,Cửa hàng,THE,HOAN_TAT,1,817000,505726,4
T0000171,2025-01-02,C00070,Gia dụng,Hải Phòng,Online,THE,HOAN_TAT,3,2493000,1551039,4
T0000179,2025-01-02,C04922,Điện tử,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,22893707,16025595,4
T0000173,2025-01-02,C03199,Thời trang,TP HCM,Cửa hàng,THE,HOAN_TAT,1,679000,542529,4
T0000174,2025-01-02,C07564,Gia dụng,Hải Phòng,Online,CHUYEN_KHOAN,HOAN_TAT,1,865000,606464,5
T0000176,2025-01-02,C00006,Gia dụng,Cần Thơ,Online,TIEN_MAT,HOAN_TAT,2,1514000,1271487,5
T0000177,2025-01-02,C02968,Sách,TP HCM,Online,KHONG_RO,HOAN_TAT,1,168000,121700,5
T0000178,2025-01-02,C03332,Thực phẩm,Cần Thơ,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,201000,154697,5
T0000180,2025-01-02,C00017,Gia dụng,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,2,1536000,939003,5
T0000181,2025-01-02,C05058,Gia dụng,Hà Nội,Online,TIEN_MAT,HOAN_TAT,1,690650,426639,6
T0000182,2025-01-02,C02645,Thực phẩm,Đà Nẵng,Online,TIEN_MAT,HOAN_TAT,1,193000,150888,6
T0000183,2025-01-02,C05614,Thực phẩm,Cần Thơ,Cửa hàng,TIEN_MAT,HOAN_TAT,2,334000,238698,6
T0000184,2025-01-02,C00007,Mỹ phẩm,Hải Phòng,Online,KHONG_RO,HOAN_TAT,2,996000,719357,6
T0000185,2025-01-02,C02778,Gia dụng,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,1,858000,650229,6
T0000186,2025-01-02,C00276,Gia dụng,Đà Nẵng,Online,THE,HOAN_TAT,1,869000,626711,6
T0000187,2025-01-02,C00256,Điện tử,Đà Nẵng,Online,TIEN_MAT,HOAN_TAT,4,4392000,3178840,6
T0000188,2025-01-02,C05724,Thực phẩm,Đà Nẵng,Cửa hàng,TIEN_MAT,HOAN_TAT,2,306000,238806,6
T0000189,2025-01-02,C06132,Thời trang,Cần Thơ,Cửa hàng,TIEN_MAT,HOAN_TAT,3,2091000,1671400,7
T0000190,2025-01-02,C00341,Mỹ phẩm,Hà Nội,Cửa hàng,TIEN_MAT,HOAN_TAT,5,2295000,1819696,7
T0000191,2025-01-02,C00020,Thời trang,Hà Nội,Cửa hàng,THE,HOAN_TAT,1,622200,512882,7
T0000192,2025-01-02,C01910,Điện tử,Hà Nội,Online,TIEN_MAT,HOAN_TAT,1,987050,714407,7
T0000193,2025-01-02,C00001,Sách,Hà Nội,Online,CHUYEN_KHOAN,HOAN_TRA,1,121600,90366,7
T0000194,2025-01-02,C00285,Sách,Hà Nội,Online,THE,HOAN_TAT,2,273600,172810,7
T0000195,2025-01-02,C05588,Gia dụng,Hà Nội,Online,VI_DIEN_TU,HOAN_TAT,1,779000,605963,7
T0000196,2025-01-02,C00083,Mỹ phẩm,Đà Nẵng,Cửa hàng,TIEN_MAT,HOAN_TAT,1,457900,321882,7
T0000197,2025-01-02,C04354,Thời trang,Đà Nẵng,Online,TIEN_MAT,HOAN_TAT,1,793000,512898,8
T0000198,2025-01-02,C05540,Sách,Hà Nội,Cửa hàng,THE,HOAN_TAT,3,370500,254113,8
T0000199,2025-01-02,C02737,Thực phẩm,Hà Nội,Cửa hàng,VI_DIEN_TU,HOAN_TAT,3,573000,386604,8
T0000200,2025-01-02,C07956,Gia dụng,TP HCM,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,1,728000,615165,8
T0000201,2025-01-02,C00211,Sách,TP HCM,Online,TIEN_MAT,HOAN_TAT,2,300200,217466,8
T0000202,2025-01-02,C00392,Thực phẩm,TP HCM,Cửa hàng,THE,HOAN_TAT,1,161000,116373,8
T0000203,2025-01-02,C00111,Mỹ phẩm,TP HCM,Online,VI_DIEN_TU,HOAN_TAT,1,435100,324775,8
T0000204,2025-01-02,C00310,Điện tử,Cần Thơ,Cửa hàng,VI_DIEN_TU,HOAN_TAT,3,2925000,1889691,8
T0000205,2025-01-02,C00326,Thực phẩm,Hải Phòng,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,182000,129593,9
T0000206,2025-01-02,C02333,Thời trang,TP HCM,Online,CHUYEN_KHOAN,HOAN_TAT,3,2322750,1611140,9
T0000207,2025-01-02,C02522,Thực phẩm,Hà Nội,Online,THE,HOAN_TAT,3,549000,396826,9
T0000208,2025-01-02,C03361,Thực phẩm,TP HCM,Cửa hàng,KHONG_RO,HOAN_TRA,1,170850,144632,9
T0000209,2025-01-02,C02876,Thời trang,Hải Phòng,Cửa hàng,TIEN_MAT,HOAN_TAT,1,611800,370749,9
T0000210,2025-01-02,C01359,Thời trang,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,609450,459215,9
T0000211,2025-01-02,C04953,Thực phẩm,Cần Thơ,Online,TIEN_MAT,HOAN_TAT,1,173000,125047,9
T0000212,2025-01-02,C00358,Gia dụng,Hà Nội,Cửa hàng,THE,HOAN_TAT,2,1606000,1293208,10
T0000213,2025-01-02,C00158,Thực phẩm,TP HCM,Online,THE,HOAN_TAT,1,157500,118558,10
T0000214,2025-01-02,C03637,Thực phẩm,TP HCM,Online,VI_DIEN_TU,HOAN_TAT,1,183000,132275,10
T0000215,2025-01-02,C02468,Sách,Đà Nẵng,Cửa hàng,THE,HOAN_TAT,3,408000,296590,10
T0000216,2025-01-02,C04873,Thời trang,TP HCM,Online,TIEN_MAT,HOAN_TAT,2,1364000,1014011,10
T0000217,2025-01-02,C00428,Thực phẩm,Đà Nẵng,Online,VI_DIEN_TU,HOAN_TAT,2,320000,221756,10
T0000218,2025-01-02,C02077,Điện tử,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,1,929700,602619,10
