date,orders,revenue_trieu
2023-05-02,895,470.0
2023-05-03,928,484.1
2023-05-04,957,514.1
2023-05-05,1008,530.1
2023-05-06,1076,558.9
2023-05-07,1088,564.3
2023-05-08,863,434.0
2023-05-09,889,451.3
2023-05-10,1124,604.7
2023-05-11,952,478.7
2023-05-12,911,486.4
2023-05-13,1090,560.1
2023-05-14,1009,530.1
2023-05-15,797,425.1
2023-05-16,792,440.8
2023-05-17,904,478.2
2023-05-18,905,497.1
2023-05-19,1057,543.4
2023-05-20,1173,597.4
2023-05-21,1002,537.9
2023-05-22,825,430.1
2023-05-23,774,417.1
2023-05-24,884,473.8
2023-05-25,901,463.8
2023-05-26,942,496.5
2023-05-27,1051,530.5
2023-05-28,984,524.5
2023-05-29,906,463.8
2023-05-30,867,454.9
2023-05-31,899,462.8
2023-06-01,856,456.6
2023-06-02,893,470.6
2023-06-03,1003,529.6
2023-06-04,973,522.9
2023-06-05,916,473.3
2023-06-06,874,451.4
2023-06-07,927,480.3
2023-06-08,919,463.3
2023-06-09,942,476.5
2023-06-10,975,518.1
2023-06-11,975,508.1
2023-06-12,891,477.1
2023-06-13,821,431.6
2023-06-14,888,475.1
2023-06-15,902,453.5
2023-06-16,982,512.2
2023-06-17,1021,540.0
2023-06-18,1010,515.9
2023-06-19,774,435.7
2023-06-20,771,432.4
2023-06-21,905,465.9
2023-06-22,874,459.4
2023-06-23,902,471.3
2023-06-24,932,508.1
2023-06-25,987,520.0
2023-06-26,930,463.1
2023-06-27,867,445.3
2023-06-28,867,454.1
2023-06-29,884,471.1
2023-06-30,969,515.3
2023-07-01,961,533.6
2023-07-02,972,508.1
2023-07-03,882,453.2
2023-07-04,813,448.9
2023-07-05,901,482.7
2023-07-06,861,468.2
2023-07-07,867,468.8
2023-07-08,959,504.1
2023-07-09,982,544.3
2023-07-10,896,463.6
2023-07-11,850,437.3
2023-07-12,844,447.5
2023-07-13,870,490.7
2023-07-14,869,470.4
2023-07-15,1004,512.3
2023-07-16,930,525.9
2023-07-17,799,425.3
2023-07-18,807,440.3
2023-07-19,878,451.5
2023-07-20,877,470.5
2023-07-21,990,515.9
2023-07-22,1022,530.2
2023-07-23,1046,526.3
2023-07-24,747,395.9
2023-07-25,845,440.0
2023-07-26,799,439.8
2023-07-27,872,443.2
2023-07-28,884,475.5
2023-07-29,980,523.4
2023-07-30,1010,532.1
2023-07-31,740,409.9
2023-08-01,847,442.5
2023-08-02,874,447.5
2023-08-03,882,460.5
2023-08-04,931,510.7
2023-08-05,1024,540.6
2023-08-06,1047,541.2
2023-08-07,775,432.6
2023-08-08,792,431.2
2023-08-09,884,454.0
2023-08-10,905,472.7
2023-08-11,956,497.8
2023-08-12,1022,513.4
2023-08-13,1001,520.9
2023-08-14,856,441.8
2023-08-15,1001,491.3
2023-08-16,934,494.2
2023-08-17,845,455.4
2023-08-18,946,492.0
2023-08-19,979,509.2
2023-08-20,958,511.4
2023-08-21,822,446.1
2023-08-22,952,470.6
2023-08-23,864,450.2
2023-08-24,860,462.1
2023-08-25,900,461.7
2023-08-26,1015,535.9
2023-08-27,955,506.2
2023-08-28,839,434.3
2023-08-29,797,436.6
2023-08-30,893,465.2
2023-08-31,895,445.8
2023-09-01,919,477.6
2023-09-02,1094,580.9
2023-09-03,949,506.0
2023-09-04,803,428.0
2023-09-05,923,489.4
2023-09-06,985,523.2
2023-09-07,898,460.5
2023-09-08,910,501.5
2023-09-09,1072,553.0
2023-09-10,1063,564.6
2023-09-11,835,434.3
2023-09-12,839,456.4
2023-09-13,963,489.4
2023-09-14,970,493.9
2023-09-15,985,506.0
2023-09-16,1005,549.1
2023-09-17,996,513.5
2023-09-18,870,452.6
2023-09-19,835,460.9
2023-09-20,920,484.6
2023-09-21,923,481.1
2023-09-22,1014,526.3
2023-09-23,1097,574.8
2023-09-24,1045,546.2
2023-09-25,927,468.5
2023-09-26,927,471.9
2023-09-27,851,485.7
2023-09-28,911,483.5
2023-09-29,1001,529.0
2023-09-30,1021,560.3
2023-10-01,1117,586.5
2023-10-02,974,496.0
2023-10-03,891,483.4
2023-10-04,916,477.6
2023-10-05,893,482.1
2023-10-06,1029,550.4
2023-10-07,1125,572.5
2023-10-08,1057,563.3
2023-10-09,851,442.1
2023-10-10,901,499.0
2023-10-11,1007,505.4
2023-10-12,942,488.0
2023-10-13,996,526.4
2023-10-14,1114,578.5
2023-10-15,1032,561.5
2023-10-16,931,474.2
2023-10-17,916,486.5
2023-10-18,942,498.7
2023-10-19,970,516.8
2023-10-20,1064,567.4
2023-10-21,1031,533.6
2023-10-22,1075,562.4
2023-10-23,945,488.8
2023-10-24,949,499.8
2023-10-25,968,502.7
2023-10-26,918,488.6
2023-10-27,1106,553.0
2023-10-28,1133,617.1
2023-10-29,1068,545.3
2023-10-30,998,507.3
2023-10-31,919,494.7
2023-11-01,1033,514.4
2023-11-02,989,507.5
2023-11-03,1064,547.3
2023-11-04,1170,615.6
2023-11-05,1115,589.5
2023-11-06,1000,529.1
2023-11-07,1013,528.0
2023-11-08,1041,529.6
2023-11-09,1076,563.9
2023-11-10,1055,567.3
2023-11-11,1186,613.2
2023-11-12,1125,579.8
2023-11-13,976,505.2
2023-11-14,969,500.3
2023-11-15,1030,545.5
2023-11-16,960,517.3
2023-11-17,1079,579.4
2023-11-18,1101,600.8
2023-11-19,1169,612.1
2023-11-20,992,523.4
2023-11-21,1037,551.5
2023-11-22,965,546.7
2023-11-23,949,516.0
2023-11-24,1111,569.9
2023-11-25,1102,588.8
2023-11-26,1125,587.4
2023-11-27,996,542.7
2023-11-28,1054,535.8
2023-11-29,997,526.5
2023-11-30,1017,531.6
2023-12-01,1155,577.2
2023-12-02,1166,593.5
2023-12-03,1113,590.1
2023-12-04,986,526.5
2023-12-05,1038,550.4
2023-12-06,1068,555.3
2023-12-07,974,513.8
2023-12-08,1106,587.3
2023-12-09,1218,621.8
2023-12-10,1165,614.6
2023-12-11,1112,555.0
2023-12-12,947,497.4
2023-12-13,1068,538.6
2023-12-14,1093,570.5
2023-12-15,1311,677.2
2023-12-16,1220,651.8
2023-12-17,1435,766.7
2023-12-18,1048,545.7
2023-12-19,1029,528.8
2023-12-20,1081,568.3
2023-12-21,1077,583.5
2023-12-22,1097,595.1
2023-12-23,1168,633.7
2023-12-24,1135,620.9
2023-12-25,989,519.0
2023-12-26,1055,540.5
2023-12-27,1054,554.9
2023-12-28,1036,575.1
2023-12-29,1159,612.7
2023-12-30,1163,614.1
2023-12-31,1226,617.4
2024-01-01,1037,564.8
2024-01-02,1003,533.3
2024-01-03,1081,546.3
2024-01-04,1104,575.2
2024-01-05,1179,613.2
2024-01-06,1212,636.6
2024-01-07,1237,646.7
2024-01-08,1077,556.6
2024-01-09,1053,564.8
2024-01-10,1112,574.0
2024-01-11,1137,616.3
2024-01-12,1143,597.0
2024-01-13,1150,603.0
2024-01-14,1228,654.3
2024-01-15,1017,535.5
2024-01-16,1037,553.9
2024-01-17,1094,589.9
2024-01-18,1032,547.7
2024-01-19,1075,580.3
2024-01-20,1171,612.3
2024-01-21,1136,613.1
2024-01-22,1069,553.5
2024-01-23,1041,563.2
2024-01-24,1075,573.0
2024-01-25,1035,552.8
2024-01-26,1102,562.8
2024-01-27,1231,643.5
2024-01-28,1173,620.2
2024-01-29,1067,555.1
2024-01-30,1026,567.6
2024-01-31,1085,571.6
2024-02-01,1176,592.9
2024-02-02,1161,609.4
2024-02-03,1242,652.9
2024-02-04,1186,616.8
2024-02-05,1057,544.3
2024-02-06,1012,559.1
2024-02-07,1068,584.4
2024-02-08,1093,572.5
2024-02-09,1151,615.0
2024-02-10,1247,638.9
2024-02-11,1184,627.5
2024-02-12,1020,562.5
2024-02-13,956,519.7
2024-02-14,969,546.2
2024-02-15,1044,552.8
2024-02-16,1066,563.4
2024-02-17,1188,631.1
2024-02-18,1248,642.7
2024-02-19,1060,542.0
2024-02-20,1057,558.5
2024-02-21,1065,588.4
2024-02-22,1160,602.6
2024-02-23,1160,603.3
2024-02-24,1275,666.7
2024-02-25,1221,629.8
2024-02-26,980,530.9
2024-02-27,1082,543.1
2024-02-28,1004,540.9
2024-02-29,1085,561.4
2024-03-01,1092,596.7
2024-03-02,1222,655.4
2024-03-03,1287,657.6
2024-03-04,981,519.5
2024-03-05,1083,559.2
2024-03-06,1045,547.1
2024-03-07,1107,584.1
2024-03-08,1172,598.9
2024-03-09,1145,606.0
2024-03-10,1174,641.3
2024-03-11,990,531.4
2024-03-12,1040,540.3
2024-03-13,1044,544.3
2024-03-14,1028,561.5
2024-03-15,1134,606.6
2024-03-16,1188,633.1
2024-03-17,1184,628.0
2024-03-18,1003,546.3
2024-03-19,1069,571.1
2024-03-20,1036,554.8
2024-03-21,1053,543.9
2024-03-22,1189,615.3
2024-03-23,1189,627.7
2024-03-24,1205,639.3
2024-03-25,1037,543.7
2024-03-26,1009,542.0
2024-03-27,1043,564.2
2024-03-28,1121,602.6
2024-03-29,1182,630.4
2024-03-30,1171,631.7
2024-03-31,1180,618.9
2024-04-01,1069,552.9
2024-04-02,959,525.8
2024-04-03,1066,560.5
2024-04-04,1065,563.6
2024-04-05,1139,595.2
2024-04-06,1163,612.0
2024-04-07,1073,583.9
2024-04-08,905,492.7
2024-04-09,984,517.4
2024-04-10,1057,542.7
2024-04-11,999,555.1
2024-04-12,1188,620.7
2024-04-13,1252,643.2
2024-04-14,1120,591.5
2024-04-15,1026,532.5
2024-04-16,983,526.4
2024-04-17,1027,542.0
2024-04-18,1023,559.9
2024-04-19,1068,593.2
2024-04-20,1189,613.4
2024-04-21,1161,624.1
2024-04-22,942,501.8
2024-04-23,972,529.9
2024-04-24,1086,590.0
2024-04-25,1053,556.7
2024-04-26,1129,603.9
2024-04-27,1182,617.2
2024-04-28,1173,611.5
2024-04-29,991,517.4
2024-04-30,999,522.8
2024-05-01,1037,525.3
2024-05-02,1031,556.5
2024-05-03,1060,558.9
2024-05-04,1213,623.6
2024-05-05,1203,616.6
2024-05-06,955,521.1
2024-05-07,974,516.8
2024-05-08,1067,543.6
2024-05-09,1037,539.3
2024-05-10,1120,587.2
2024-05-11,1087,574.8
2024-05-12,1106,587.2
2024-05-13,909,474.9
2024-05-14,927,491.3
2024-05-15,1056,556.2
2024-05-16,1061,557.2
2024-05-17,1035,553.6
2024-05-18,1110,577.0
2024-05-19,1092,536.2
2024-05-20,900,497.2
2024-05-21,1068,558.1
2024-05-22,999,535.8
2024-05-23,1017,527.5
2024-05-24,1087,571.4
2024-05-25,1107,572.4
2024-05-26,1133,580.7
2024-05-27,965,505.4
2024-05-28,996,509.6
2024-05-29,965,538.9
2024-05-30,1067,540.4
2024-05-31,1096,571.8
2024-06-01,1138,584.9
2024-06-02,1108,599.0
2024-06-03,986,529.8
2024-06-04,936,490.6
2024-06-05,960,505.6
2024-06-06,1062,555.2
2024-06-07,1078,553.4
2024-06-08,1133,619.7
2024-06-09,1111,572.1
2024-06-10,996,523.8
2024-06-11,959,507.6
2024-06-12,958,523.6
2024-06-13,1070,556.7
2024-06-14,980,547.7
2024-06-15,1109,575.0
2024-06-16,1045,569.5
2024-06-17,958,503.4
2024-06-18,899,474.8
2024-06-19,1033,528.1
2024-06-20,977,516.7
2024-06-21,1071,572.8
2024-06-22,1026,546.8
2024-06-23,1099,561.4
2024-06-24,893,463.0
2024-06-25,914,486.3
2024-06-26,981,519.4
2024-06-27,952,521.5
2024-06-28,1047,545.9
2024-06-29,1068,585.4
2024-06-30,1117,577.8
2024-07-01,903,473.8
2024-07-02,1033,512.5
2024-07-03,971,525.6
2024-07-04,1005,530.4
2024-07-05,1108,559.4
2024-07-06,1156,592.6
2024-07-07,1141,609.8
2024-07-08,936,489.5
2024-07-09,938,493.5
2024-07-10,956,499.4
2024-07-11,941,504.3
2024-07-12,998,526.4
2024-07-13,1045,570.8
2024-07-14,1089,571.5
2024-07-15,955,496.8
2024-07-16,944,499.7
2024-07-17,908,499.0
2024-07-18,1049,539.1
2024-07-19,1077,562.2
2024-07-20,1092,584.1
2024-07-21,1059,561.3
2024-07-22,914,501.0
2024-07-23,929,502.6
2024-07-24,912,487.2
2024-07-25,1023,522.2
2024-07-26,1037,554.3
2024-07-27,1102,571.5
2024-07-28,1083,577.3
2024-07-29,891,465.8
2024-07-30,993,524.2
2024-07-31,1042,536.8
2024-08-01,975,520.0
2024-08-02,1020,557.3
2024-08-03,1002,545.6
2024-08-04,1040,554.5
2024-08-05,896,488.2
2024-08-06,927,482.5
2024-08-07,993,528.9
2024-08-08,1128,562.3
2024-08-09,966,531.5
2024-08-10,1099,575.9
2024-08-11,1077,581.5
2024-08-12,984,524.6
2024-08-13,919,482.0
2024-08-14,935,522.8
2024-08-15,1073,561.5
2024-08-16,1046,525.4
2024-08-17,1073,570.5
2024-08-18,1094,572.3
2024-08-19,955,489.0
2024-08-20,987,521.4
2024-08-21,984,525.6
2024-08-22,893,499.7
2024-08-23,1094,567.4
2024-08-24,1111,586.2
2024-08-25,1126,606.1
2024-08-26,935,490.3
2024-08-27,933,498.7
2024-08-28,1002,534.4
2024-08-29,1058,548.9
2024-08-30,1049,569.8
2024-08-31,1109,569.9
2024-09-01,1098,596.5
2024-09-02,908,486.8
2024-09-03,1033,518.2
2024-09-04,984,503.0
2024-09-05,1042,547.2
2024-09-06,1024,551.3
2024-09-07,1091,581.4
2024-09-08,1149,603.9
2024-09-09,978,514.1
2024-09-10,962,507.3
2024-09-11,1062,559.2
2024-09-12,1013,535.8
2024-09-13,1049,571.0
2024-09-14,1154,613.9
2024-09-15,1134,584.6
2024-09-16,959,523.0
2024-09-17,971,513.6
2024-09-18,987,530.5
2024-09-19,1092,573.2
2024-09-20,1048,556.6
2024-09-21,1121,570.7
2024-09-22,1209,629.9
2024-09-23,1042,565.5
2024-09-24,1007,521.1
2024-09-25,946,508.3
2024-09-26,1027,548.3
2024-09-27,1101,575.6
2024-09-28,1158,616.1
2024-09-29,1136,586.3
2024-09-30,998,535.5
2024-10-01,1017,543.4
2024-10-02,975,521.8
2024-10-03,1073,572.1
2024-10-04,1212,623.3
2024-10-05,1209,628.3
2024-10-06,1194,606.0
2024-10-07,1060,528.3
2024-10-08,1021,550.8
2024-10-09,996,523.4
2024-10-10,1050,568.4
2024-10-11,1092,585.2
2024-10-12,1247,664.4
2024-10-13,1142,614.8
2024-10-14,1051,566.9
2024-10-15,995,525.8
2024-10-16,1055,571.1
2024-10-17,1118,577.2
2024-10-18,1084,582.7
2024-10-19,1287,640.4
2024-10-20,1216,645.9
2024-10-21,1022,537.1
2024-10-22,958,521.4
2024-10-23,1119,566.4
2024-10-24,1095,561.3
2024-10-25,1144,598.3
2024-10-26,1186,641.9
2024-10-27,1144,599.5
2024-10-28,960,520.0
2024-10-29,1113,566.7
2024-10-30,1091,563.5
2024-10-31,1024,537.6
2024-11-01,1126,624.8
2024-11-02,1219,654.4
2024-11-03,1202,623.5
2024-11-04,1040,531.6
2024-11-05,1128,579.2
2024-11-06,1072,585.3
2024-11-07,1210,632.8
2024-11-08,1212,624.3
2024-11-09,1217,662.6
2024-11-10,1215,639.5
2024-11-11,1101,576.0
2024-11-12,1097,581.5
2024-11-13,1108,607.6
2024-11-14,1106,586.5
2024-11-15,1160,614.9
2024-11-16,1237,653.0
2024-11-17,1245,662.7
2024-11-18,1118,594.2
2024-11-19,1078,567.8
2024-11-20,1119,583.3
2024-11-21,1146,607.4
2024-11-22,1176,624.1
2024-11-23,1303,684.5
2024-11-24,1118,613.6
2024-11-25,1072,558.1
2024-11-26,1079,567.7
2024-11-27,1055,554.8
2024-11-28,1145,590.0
2024-11-29,1125,617.6
2024-11-30,1222,669.3
2024-12-01,1298,679.7
2024-12-02,1090,574.0
2024-12-03,1085,568.6
2024-12-04,1130,600.9
2024-12-05,1216,631.5
2024-12-06,1205,621.8
2024-12-07,1269,661.7
2024-12-08,1276,674.8
2024-12-09,1048,579.5
2024-12-10,1166,603.8
2024-12-11,1183,606.6
2024-12-12,1213,630.1
2024-12-13,1167,625.5
2024-12-14,1314,682.6
2024-12-15,1286,665.7
2024-12-16,1115,566.2
2024-12-17,1058,568.6
2024-12-18,1179,623.7
2024-12-19,1188,615.7
2024-12-20,1199,630.2
2024-12-21,1274,685.4
2024-12-22,1329,694.0
2024-12-23,1062,551.3
2024-12-24,1093,573.9
2024-12-25,1143,598.8
2024-12-26,1233,652.3
2024-12-27,1286,657.6
2024-12-28,1317,704.8
2024-12-29,1234,657.0
2024-12-30,1094,575.9
2024-12-31,1186,612.6
2025-01-01,1141,620.0
2025-01-02,1182,639.3
2025-01-03,1189,652.5
2025-01-04,1330,699.3
2025-01-05,1271,683.6
2025-01-06,1155,613.2
2025-01-07,1199,622.1
2025-01-08,1110,592.8
2025-01-09,1130,591.9
2025-01-10,1278,676.7
2025-01-11,1382,718.4
2025-01-12,1275,665.0
2025-01-13,1062,568.3
2025-01-14,1158,611.8
2025-01-15,1522,787.2
2025-01-16,1277,667.0
2025-01-17,1239,670.2
2025-01-18,1332,692.5
2025-01-19,1245,669.4
2025-01-20,1183,603.9
2025-01-21,1178,606.6
2025-01-22,1162,607.9
2025-01-23,1283,673.3
2025-01-24,1315,694.7
2025-01-25,1387,721.2
2025-01-26,1264,670.4
2025-01-27,1185,620.5
2025-01-28,1209,624.8
2025-01-29,1193,635.4
2025-01-30,1239,660.0
2025-01-31,1253,675.1
2025-02-01,1332,715.1
2025-02-02,1283,699.3
2025-02-03,1181,612.0
2025-02-04,1151,581.9
2025-02-05,1232,629.5
2025-02-06,1153,628.0
2025-02-07,1236,641.0
2025-02-08,1427,732.4
2025-02-09,1355,719.2
2025-02-10,1201,630.5
2025-02-11,1125,618.6
2025-02-12,1246,652.3
2025-02-13,1186,638.2
2025-02-14,1273,667.6
2025-02-15,1257,682.2
2025-02-16,1334,694.9
2025-02-17,1178,606.7
2025-02-18,1102,590.1
2025-02-19,1162,626.5
2025-02-20,1154,635.9
2025-02-21,1315,695.5
2025-02-22,1348,717.1
2025-02-23,1267,687.1
2025-02-24,1169,609.2
2025-02-25,1154,613.3
2025-02-26,1156,622.6
2025-02-27,1158,616.6
2025-02-28,1279,659.2
2025-03-01,1319,686.2
2025-03-02,1256,662.9
2025-03-03,1179,612.4
2025-03-04,1145,617.9
2025-03-05,1397,734.9
2025-03-06,1205,632.1
2025-03-07,1276,678.0
2025-03-08,1373,716.8
2025-03-09,1314,701.9
2025-03-10,1156,601.8
2025-03-11,1142,593.6
2025-03-12,1073,603.0
2025-03-13,1243,638.3
2025-03-14,1187,664.6
2025-03-15,1350,718.6
2025-03-16,1357,700.8
2025-03-17,1125,596.3
2025-03-18,1073,583.9
2025-03-19,1140,614.1
2025-03-20,1229,633.4
2025-03-21,1190,651.4
2025-03-22,1324,682.2
2025-03-23,1296,682.8
2025-03-24,1085,586.7
2025-03-25,1110,592.0
2025-03-26,1157,622.5
2025-03-27,1198,619.2
2025-03-28,1265,656.4
2025-03-29,1276,694.4
2025-03-30,1234,654.5
2025-03-31,1088,583.9
2025-04-01,1222,626.0
2025-04-02,1092,592.7
2025-04-03,1152,585.0
2025-04-04,1168,615.1
2025-04-05,1276,686.6
2025-04-06,1260,672.2
2025-04-07,1095,587.0
2025-04-08,1143,618.4
2025-04-09,1070,561.9
2025-04-10,1160,626.6
2025-04-11,1224,673.1
2025-04-12,1249,662.1
2025-04-13,1211,661.1
2025-04-14,1068,571.8
2025-04-15,1073,576.7
2025-04-16,1119,600.4
2025-04-17,1269,641.4
2025-04-18,1282,674.3
2025-04-19,1284,672.6
2025-04-20,1282,698.4
2025-04-21,1090,582.2
2025-04-22,1184,620.5
2025-04-23,1116,600.7
2025-04-24,1190,614.2
2025-04-25,1193,643.9
2025-04-26,1384,731.9
2025-04-27,1269,675.5
2025-04-28,1077,564.9
2025-04-29,1129,602.5
2025-04-30,1118,592.0
2025-05-01,1132,599.1
2025-05-02,1216,649.7
2025-05-03,1288,671.3
2025-05-04,1262,661.2
2025-05-05,1088,573.9
2025-05-06,1105,587.2
2025-05-07,1164,602.2
2025-05-08,1075,569.1
2025-05-09,1211,641.4
2025-05-10,1236,649.2
2025-05-11,1233,626.4
2025-05-12,1047,568.8
2025-05-13,1119,578.8
2025-05-14,1051,578.3
2025-05-15,1174,615.2
2025-05-16,1182,601.5
2025-05-17,1258,655.8
2025-05-18,1217,638.1
2025-05-19,1060,565.3
2025-05-20,1100,578.6
2025-05-21,1075,568.9
2025-05-22,1139,609.6
2025-05-23,1177,623.2
2025-05-24,1193,625.5
2025-05-25,1140,609.9
2025-05-26,1048,562.4
2025-05-27,1042,566.2
2025-05-28,1115,581.8
2025-05-29,1140,592.7
2025-05-30,1189,622.8
2025-05-31,1304,673.4
2025-06-01,1184,621.9
2025-06-02,1033,538.3
2025-06-03,1047,547.3
2025-06-04,1111,585.8
2025-06-05,1151,612.6
2025-06-06,1211,608.0
2025-06-07,1144,608.3
2025-06-08,1139,608.3
2025-06-09,1040,541.6
2025-06-10,1059,554.1
2025-06-11,1049,570.5
2025-06-12,1146,588.1
2025-06-13,1152,607.5
2025-06-14,1245,669.6
2025-06-15,1216,624.3
2025-06-16,1039,538.6
2025-06-17,1052,570.4
2025-06-18,1085,547.8
2025-06-19,1142,592.2
2025-06-20,1164,612.7
2025-06-21,1267,646.0
2025-06-22,1264,662.9
2025-06-23,1027,540.9
2025-06-24,1118,596.9
2025-06-25,1097,569.6
2025-06-26,1077,560.4
2025-06-27,1160,610.4
2025-06-28,1173,627.6
2025-06-29,1180,619.3
2025-06-30,1058,557.7
2025-07-01,1047,568.4
2025-07-02,1029,561.1
2025-07-03,1154,599.9
2025-07-04,1130,628.8
2025-07-05,1281,671.7
2025-07-06,1206,641.3
2025-07-07,1124,574.2
2025-07-08,983,523.7
2025-07-09,1091,565.7
2025-07-10,1065,565.8
2025-07-11,1161,609.5
2025-07-12,1225,635.0
2025-07-13,1182,628.3
2025-07-14,1133,583.1
2025-07-15,1028,554.2
2025-07-16,1107,578.7
2025-07-17,1120,577.1
2025-07-18,1173,608.6
2025-07-19,1274,645.4
2025-07-20,1196,639.4
2025-07-21,1049,570.4
2025-07-22,1091,587.2
2025-07-23,1113,577.2
2025-07-24,1138,592.3
2025-07-25,1118,587.1
2025-07-26,1196,644.4
2025-07-27,1252,649.0
2025-07-28,1044,565.8
2025-07-29,1097,562.2
2025-07-30,1190,588.5
2025-07-31,1133,591.6
2025-08-01,1213,630.6
2025-08-02,1227,652.4
2025-08-03,1146,627.0
2025-08-04,1045,557.7
2025-08-05,936,507.1
2025-08-06,1068,581.1
2025-08-07,1029,518.8
2025-08-08,1108,579.7
2025-08-09,1258,657.2
2025-08-10,1216,643.9
2025-08-11,1008,532.7
2025-08-12,1068,549.2
2025-08-13,1141,601.0
2025-08-14,1111,578.0
2025-08-15,1237,653.4
2025-08-16,1229,651.4
2025-08-17,1191,645.2
2025-08-18,1063,585.4
2025-08-19,1071,567.0
2025-08-20,1067,561.1
2025-08-21,1084,587.6
2025-08-22,1168,615.4
2025-08-23,1198,629.9
2025-08-24,1155,636.3
2025-08-25,1015,546.1
2025-08-26,1121,584.6
2025-08-27,1118,583.1
2025-08-28,1088,587.9
2025-08-29,1177,617.6
2025-08-30,1283,662.1
2025-08-31,1265,655.7
2025-09-01,1033,545.2
2025-09-02,1039,553.0
2025-09-03,1136,606.2
2025-09-04,1132,589.5
2025-09-05,1141,598.0
2025-09-06,1289,670.1
2025-09-07,1252,657.1
2025-09-08,1046,539.8
2025-09-09,1105,580.1
2025-09-10,1167,603.9
2025-09-11,1177,608.1
2025-09-12,1195,639.4
2025-09-13,1173,641.4
2025-09-14,1291,659.3
2025-09-15,1083,566.6
2025-09-16,1044,572.0
2025-09-17,1143,611.1
2025-09-18,1222,632.8
2025-09-19,1257,665.2
2025-09-20,1308,695.3
2025-09-21,1282,656.4
2025-09-22,1082,583.5
2025-09-23,1119,599.7
2025-09-24,1151,602.8
2025-09-25,1176,613.8
2025-09-26,1253,653.0
2025-09-27,1307,675.9
2025-09-28,1241,650.6
2025-09-29,1105,575.1
2025-09-30,1139,602.8
2025-10-01,1153,606.2
2025-10-02,1187,623.1
2025-10-03,1251,655.8
2025-10-04,1303,675.9
2025-10-05,1312,683.0
2025-10-06,1132,595.1
2025-10-07,1072,574.9
2025-10-08,1214,637.9
2025-10-09,1165,613.8
2025-10-10,1183,619.8
2025-10-11,1328,669.7
2025-10-12,1235,657.0
2025-10-13,1141,595.1
2025-10-14,1163,598.1
2025-10-15,1165,611.9
