transaction_id,ts,store_id,city,category,product,quantity,unit_price,payment_method,customer_id
T0000100,2025-01-01 08:55:35,S04,Đà Nẵng,Thực phẩm,Cà phê rang xay,1,166000,TIEN_MAT,C03428
T0000101,2025-01-01 08:56:17,S08,TP HCM,Gia dụng,Quạt điều hòa,4,2270000,THE,C14904
T0000102,2025-01-01 08:56:40,S09,Cần Thơ,Gia dụng,Máy xay sinh tố,2,713000,VI_DIEN_TU,C00038
T0000103,2025-01-01 08:58:59,S08,TP HCM,Thực phẩm,Gạo ST25 5kg,1,175000,THE,C24904
T0000104,2025-01-01 08:59:13,S09,Cần Thơ,Gia dụng,Bộ dao nhà bếp,1,423000,THE,C00946
T0000105,2025-01-01 09:00:15,S01,Hà Nội,Thời trang,Giày thể thao,2,1260000,CHUYEN_KHOAN,C03718
T0000106,2025-01-01 09:02:14,S06,TP HCM,Mỹ phẩm,Kem chống nắng,2,384000,TIEN_MAT,C15811
T0000107,2025-01-01 09:04:15,S06,TP HCM,Gia dụng,Bộ dao nhà bếp,1,424000,VI_DIEN_TU,C04474
T0000108,2025-01-01 09:04:33,S03,Hải Phòng,Gia dụng,Quạt điều hòa,2,2289000,TIEN_MAT,C23792
T0000109,2025-01-01 09:05:50,S02,Hà Nội,Sách,Từ điển,1,345000,THE,C11310
T0000110,2025-01-01 09:07:16,S09,Cần Thơ,Thực phẩm,Mì gói thùng,4,125000,CHUYEN_KHOAN,C07826
T0000111,2025-01-01 09:08:55,S07,TP HCM,Gia dụng,Quạt điều hòa,2,2178000,VI_DIEN_TU,C12652
T0000112,2025-01-01 09:09:34,S04,Đà Nẵng,Thực phẩm,Gạo ST25 5kg,4,173000,TIEN_MAT,C14428
T0000113,2025-01-01 09:10:00,S09,Cần Thơ,Thực phẩm,Cà phê rang xay,1,142000,CHUYEN_KHOAN,C02452
T0000114,2025-01-01 09:12:01,S07,TP HCM,Sách,Giáo trình đại học,2,204000,VI_DIEN_TU,C22098
T0000115,2025-01-01 09:14:18,S06,TP HCM,Thực phẩm,Sữa tươi thùng,3,346000,THE,C20233
T0000116,2025-01-01 09:14:36,S05,Huế,Gia dụng,Máy xay sinh tố,2,820000,TIEN_MAT,C20767
T0000117,2025-01-01 09:15:02,S08,TP HCM,Thực phẩm,Sữa tươi thùng,1,361000,TIEN_MAT,C12283
T0000118,2025-01-01 09:16:53,S02,Hà Nội,Điện tử,Sạc dự phòng,2,532000,TIEN_MAT,C19972
T0000119,2025-01-01 09:18:31,S02,Hà Nội,Thực phẩm,Dầu ăn 1L,2,61000,THE,C15060
T0000120,2025-01-01 09:19:37,S02,Hà Nội,Thời trang,Áo khoác gió,2,947000,THE,C11324
T0000121,2025-01-01 09:20:54,S03,Hải Phòng,Thực phẩm,Cà phê rang xay,1,159000,CHUYEN_KHOAN,C15834
T0000122,2025-01-01 09:21:22,S07,TP HCM,Gia dụng,Bộ dao nhà bếp,1,439000,TIEN_MAT,C21569
T0000123,2025-01-01 09:23:04,S10,Bình Dương,Gia dụng,Bộ dao nhà bếp,2,476000,CHUYEN_KHOAN,C24418
T0000124,2025-01-01 09:25:12,S08,TP HCM,Sách,Giáo trình đại học,1,219000,TIEN_MAT,C06231
T0000125,2025-01-01 09:26:17,S07,TP HCM,Thời trang,Quần jeans,3,693000,TIEN_MAT,C14445
T0000126,2025-01-01 09:26:26,S07,TP HCM,Thực phẩm,Dầu ăn 1L,1,57000,TIEN_MAT,C04331
T0000127,2025-01-01 09:28:45,S08,TP HCM,Sách,Giáo trình đại học,4,211000,TIEN_MAT,C15790
T0000128,2025-01-01 09:30:01,S01,Hà Nội,Thời trang,Giày thể thao,1,1310000,VI_DIEN_TU,C07393
T0000129,2025-01-01 09:31:43,S01,Hà Nội,Mỹ phẩm,Serum dưỡng da,3,831000,THE,C14903
T0000130,2025-01-01 09:33:18,S10,Bình Dương,Thời trang,Giày thể thao,3,1266000,TIEN_MAT,C07662
T0000131,2025-01-01 09:35:19,S07,TP HCM,Điện tử,Sạc dự phòng,2,525000,THE,C15214
T0000132,2025-01-01 09:36:37,S03,Hải Phòng,Thời trang,Áo sơ mi,4,395000,THE,C03185
T0000133,2025-01-01 09:37:38,S10,Bình Dương,Sách,Sách thiếu nhi,1,74000,VI_DIEN_TU,C17702
T0000134,2025-01-01 09:39:26,S08,TP HCM,Thực phẩm,Dầu ăn 1L,2,65000,THE,C09167
T0000135,2025-01-01 09:39:35,S09,Cần Thơ,Thời trang,Quần jeans,4,673000,TIEN_MAT,C22469
T0000136,2025-01-01 09:41:10,S10,Bình Dương,Thực phẩm,Sữa tươi thùng,1,316000,CHUYEN_KHOAN,C14901
T0000137,2025-01-01 09:41:34,S04,Đà Nẵng,Thời trang,Túi xách,1,1656000,CHUYEN_KHOAN,C18501
T0000138,2025-01-01 09:42:27,S09,Cần Thơ,Điện tử,Sạc dự phòng,1,514000,TIEN_MAT,C04836
T0000139,2025-01-01 09:42:28,S08,TP HCM,Gia dụng,Ấm siêu tốc,1,420000,TIEN_MAT,C00845
T0000140,2025-01-01 09:43:02,S03,Hải Phòng,Điện tử,Chuột quang,1,324000,TIEN_MAT,C13795
T0000141,2025-01-01 09:45:17,S06,TP HCM,Điện tử,Tai nghe không dây,2,886000,TIEN_MAT,C16510
T0000142,2025-01-01 09:46:14,S07,TP HCM,Mỹ phẩm,Sữa rửa mặt,3,253000,TIEN_MAT,C21081
T0000143,2025-01-01 09:46:22,S01,Hà Nội,Điện tử,Ổ cứng SSD 512GB,1,1361000,VI_DIEN_TU,C14535
T0000144,2025-01-01 09:46:41,S03,Hải Phòng,Sách,Giáo trình đại học,1,213000,THE,C17969
T0000145,2025-01-01 09:48:05,S06,TP HCM,Thực phẩm,Mì gói thùng,1,128000,TIEN_MAT,C22996
T0000146,2025-01-01 09:48:35,S05,Huế,Sách,Từ điển,1,331000,TIEN_MAT,C11107
T0000147,2025-01-01 09:50:32,S03,Hải Phòng,Thực phẩm,Gạo ST25 5kg,1,179000,CHUYEN_KHOAN,C22506
T0000148,2025-01-01 09:52:34,S07,TP HCM,Điện tử,Tai nghe không dây,1,832000,VI_DIEN_TU,C18232
T0000149,2025-01-01 09:52:50,S05,Huế,Thực phẩm,Mì gói thùng,2,129000,VI_DIEN_TU,C24586
T0000150,2025-01-01 09:54:39,S04,Đà Nẵng,Sách,Sách kỹ năng,2,137000,THE,C06972
T0000151,2025-01-01 09:55:19,S06,TP HCM,Thời trang,Quần jeans,1,717000,TIEN_MAT,C09129
T0000152,2025-01-01 09:56:17,S06,TP HCM,Sách,Từ điển,3,344000,VI_DIEN_TU,C00861
T0000153,2025-01-01 09:57:26,S04,Đà Nẵng,Điện tử,Bàn phím cơ,1,1497000,TIEN_MAT,C04695
T0000154,2025-01-01 09:59:09,S04,Đà Nẵng,Điện tử,Tai nghe không dây,1,831000,THE,C05158
T0000155,2025-01-01 10:00:44,S01,Hà Nội,Gia dụng,Máy xay sinh tố,2,793000,TIEN_MAT,C05159
T0000156,2025-01-01 10:00:57,S06,TP HCM,Thời trang,Giày thể thao,1,1238000,THE,C07064
T0000157,2025-01-01 10:03:09,S06,TP HCM,Điện tử,Ổ cứng SSD 512GB,2,1209000,THE,C10107
T0000158,2025-01-01 10:03:21,S10,Bình Dương,Gia dụng,Bộ dao nhà bếp,1,417000,VI_DIEN_TU,C08373
T0000159,2025-01-01 10:04:36,S01,Hà Nội,Gia dụng,Nồi cơm điện,1,1179000,THE,C07541
T0000160,2025-01-01 10:06:45,S01,Hà Nội,Thực phẩm,Sữa tươi thùng,3,316000,TIEN_MAT,C02552
T0000161,2025-01-01 10:08:06,S03,Hải Phòng,Thực phẩm,Mì gói thùng,2,126000,THE,C10643
T0000162,2025-01-01 10:08:50,S04,Đà Nẵng,Sách,Từ điển,2,317000,THE,C03469
T0000163,2025-01-01 10:09:53,S03,Hải Phòng,Thực phẩm,Cà phê rang xay,1,155000,TIEN_MAT,C10914
T0000164,2025-01-01 10:10:37,S08,TP HCM,Điện tử,Tai nghe không dây,1,894000,THE,C21150
T0000165,2025-01-01 10:11:15,S02,Hà Nội,Gia dụng,Ấm siêu tốc,1,374000,VI_DIEN_TU,C02470
T0000166,2025-01-01 10:12:01,S06,TP HCM,Mỹ phẩm,Nước hoa mini,2,686000,VI_DIEN_TU,C18498
T0000167,2025-01-01 10:13:24,S05,Huế,Sách,Giáo trình đại học,1,198000,TIEN_MAT,C09001
T0000168,2025-01-01 10:13:39,S01,Hà Nội,Thực phẩm,Gạo ST25 5kg,1,179000,VI_DIEN_TU,C02515
T0000169,2025-01-01 10:14:03,S10,Bình Dương,Thực phẩm,Mì gói thùng,2,125000,VI_DIEN_TU,C01345
T0000170,2025-01-01 10:15:59,S06,TP HCM,Mỹ phẩm,Serum dưỡng da,1,870000,TIEN_MAT,C02028
T0000171,2025-01-01 10:17:55,S07,TP HCM,Điện tử,Bàn phím cơ,1,1561000,TIEN_MAT,C23188
T0000172,2025-01-01 10:19:48,S04,Đà Nẵng,Mỹ phẩm,Serum dưỡng da,1,853000,TIEN_MAT,C13395
T0000173,2025-01-01 10:21:15,S01,Hà Nội,Thời trang,Áo sơ mi,2,439000,TIEN_MAT,C22230
T0000174,2025-01-01 10:22:54,S06,TP HCM,Gia dụng,Bộ dao nhà bếp,1,476000,TIEN_MAT,C11463
T0000175,2025-01-01 10:24:14,S01,Hà Nội,Mỹ phẩm,Nước hoa mini,2,649000,THE,C21086
T0000176,2025-01-01 10:25:39,S06,TP HCM,Sách,Từ điển,2,299000,TIEN_MAT,C10121
T0000177,2025-01-01 10:26:26,S02,Hà Nội,Mỹ phẩm,Son môi,1,342000,TIEN_MAT,C02529
T0000178,2025-01-01 10:27:42,S07,TP HCM,Sách,Sách kỹ năng,1,128000,THE,C21691
T0000179,2025-01-01 10:29:09,S02,Hà Nội,Sách,Từ điển,1,301000,VI_DIEN_TU,C20472
T0000180,2025-01-01 10:29:52,S02,Hà Nội,Thời trang,Áo sơ mi,2,414000,THE,C09337
T0000181,2025-01-01 10:31:47,S06,TP HCM,Gia dụng,Ấm siêu tốc,3,378000,VI_DIEN_TU,C12054
T0000182,2025-01-01 10:33:40,S05,Huế,Thực phẩm,Sữa tươi thùng,1,355000,TIEN_MAT,C06544
T0000183,2025-01-01 10:34:16,S06,TP HCM,Sách,Sách kỹ năng,3,130000,TIEN_MAT,C16906
T0000184,2025-01-01 10:34:48,S02,Hà Nội,Gia dụng,Ấm siêu tốc,3,375000,THE,C07276
T0000185,2025-01-01 10:36:44,S04,Đà Nẵng,Sách,Sách kỹ năng,1,126000,THE,C02675
T0000186,2025-01-01 10:38:20,S07,TP HCM,Gia dụng,Máy xay sinh tố,3,812000,VI_DIEN_TU,C04509
T0000187,2025-01-01 10:38:30,S07,TP HCM,Gia dụng,Quạt điều hòa,1,2423000,THE,C00173
T0000188,2025-01-01 10:38:51,S07,TP HCM,Điện tử,Chuột quang,1,337000,THE,C03644
T0000189,2025-01-01 10:40:05,S08,TP HCM,Gia dụng,Nồi cơm điện,1,1094000,THE,C03633
T0000190,2025-01-01 10:42:13,S07,TP HCM,Thực phẩm,Gạo ST25 5kg,2,188000,TIEN_MAT,C00052
T0000191,2025-01-01 10:43:44,S06,TP HCM,Gia dụng,Quạt điều hòa,2,2232000,THE,C17238
T0000192,2025-01-01 10:46:04,S06,TP HCM,Thực phẩm,Mì gói thùng,1,129000,THE,C12233
T0000193,2025-01-01 10:47:09,S07,TP HCM,Thời trang,Giày thể thao,1,1307000,THE,C19068
T0000194,2025-01-01 10:48:35,S02,Hà Nội,Điện tử,Bàn phím cơ,3,1460000,VI_DIEN_TU,C15225
T0000195,2025-01-01 10:50:38,S05,Huế,Thực phẩm,Dầu ăn 1L,2,57000,TIEN_MAT,C01436
T0000196,2025-01-01 10:51:30,S10,Bình Dương,Sách,Giáo trình đại học,1,224000,THE,C08301
T0000197,2025-01-01 10:51:40,S01,Hà Nội,Thời trang,Quần jeans,3,656000,VI_DIEN_TU,C08953
T0000198,2025-01-01 10:52:12,S09,Cần Thơ,Sách,Truyện tranh,2,47000,THE,C06122
T0000199,2025-01-01 10:54:20,S08,TP HCM,Thời trang,Giày thể thao,1,1334000,VI_DIEN_TU,C02587
T0000200,2025-01-01 10:56:11,S01,Hà Nội,Thực phẩm,Dầu ăn 1L,1,62000,VI_DIEN_TU,C10044
T0000201,2025-01-01 10:58:06,S05,Huế,Thực phẩm,Cà phê rang xay,1,146000,VI_DIEN_TU,C11553
T0000202,2025-01-01 10:59:58,S04,Đà Nẵng,Gia dụng,Nồi cơm điện,2,1099000,VI_DIEN_TU,C22263
T0000203,2025-01-01 11:00:39,S05,Huế,Mỹ phẩm,Kem chống nắng,2,406000,TIEN_MAT,C07734
T0000204,2025-01-01 11:02:13,S05,Huế,Thực phẩm,Mì gói thùng,1,118000,THE,C14548
T0000205,2025-01-01 11:02:33,S03,Hải Phòng,Thực phẩm,Mì gói thùng,1,125000,CHUYEN_KHOAN,C00850
T0000206,2025-01-01 11:03:21,S08,TP HCM,Thực phẩm,Cà phê rang xay,1,165000,VI_DIEN_TU,C07032
T0000207,2025-01-01 11:04:35,S01,Hà Nội,Thời trang,Áo khoác gió,1,847000,TIEN_MAT,C23376
T0000208,2025-01-01 11:06:29,S06,TP HCM,Mỹ phẩm,Son môi,2,328000,TIEN_MAT,C09829
T0000209,2025-01-01 11:07:10,S01,Hà Nội,Thời trang,Quần jeans,1,711000,TIEN_MAT,C04551
T0000210,2025-01-01 11:08:11,S06,TP HCM,Sách,Sách kỹ năng,2,125000,CHUYEN_KHOAN,C04253
T0000211,2025-01-01 11:08:34,S06,TP HCM,Điện tử,Ổ cứng SSD 512GB,2,1393000,VI_DIEN_TU,C18839
T0000212,2025-01-01 11:08:53,S07,TP HCM,Điện tử,Bàn phím cơ,1,1483000,THE,C18066
T0000213,2025-01-01 11:09:40,S01,Hà Nội,Thời trang,Quần jeans,4,672000,TIEN_MAT,C05015
T0000214,2025-01-01 11:10:58,S10,Bình Dương,Điện tử,Bàn phím cơ,1,1550000,THE,C09308
T0000215,2025-01-01 11:11:19,S06,TP HCM,Gia dụng,Bộ dao nhà bếp,2,433000,TIEN_MAT,C21004
T0000216,2025-01-01 11:12:03,S07,TP HCM,Thực phẩm,Mì gói thùng,2,120000,THE,C18469
T0000217,2025-01-01 11:12:14,S08,TP HCM,Sách,Sách kỹ năng,4,119000,TIEN_MAT,C06908
T0000218,2025-01-01 11:14:01,S03,Hải Phòng,Thực phẩm,Gạo ST25 5kg,2,184000,CHUYEN_KHOAN,C15826
T0000219,2025-01-01 11:15:04,S01,Hà Nội,Sách,Truyện tranh,1,43000,THE,C15868
T0000220,2025-01-01 11:17:03,S03,Hải Phòng,Gia dụng,Bộ dao nhà bếp,3,424000,CHUYEN_KHOAN,C11318
T0000221,2025-01-01 11:18:46,S02,Hà Nội,Điện tử,Bàn phím cơ,1,1453000,TIEN_MAT,C14733
T0000222,2025-01-01 11:19:50,S06,TP HCM,Điện tử,Tai nghe không dây,1,860000,TIEN_MAT,C05234
T0000223,2025-01-01 11:21:14,S10,Bình Dương,Mỹ phẩm,Son môi,1,304000,THE,C10111
T0000224,2025-01-01 11:23:22,S02,Hà Nội,Điện tử,Ổ cứng SSD 512GB,4,1291000,THE,C01657
T0000225,2025-01-01 11:24:35,S01,Hà Nội,Thực phẩm,Cà phê rang xay,1,149000,TIEN_MAT,C08667
T0000226,2025-01-01 11:26:09,S06,TP HCM,Thời trang,Giày thể thao,1,1159000,THE,C09457
