date,category,branch,channel,so_don,so_khach,doanh_thu,chi_phi
2025-01-02,Điện tử,Đà Nẵng,Cửa hàng,3,3,5301900.0,4101158.0
2025-01-02,Điện tử,Đà Nẵng,Online,4,4,12901300.0,9138075.0
2025-01-03,Gia dụng,Cần Thơ,Cửa hàng,2,2,1663000.0,1362664.0
2025-01-03,Gia dụng,Cần Thơ,Online,2,2,2426400.0,1725742.0
2025-01-03,Gia dụng,Hà Nội,Cửa hàng,6,6,5981350.0,4168011.0
2025-01-03,Gia dụng,Hà Nội,Online,2,2,2386000.0,1757318.0
2025-01-03,Gia dụng,Hải Phòng,Cửa hàng,1,1,770100.0,467691.0
2025-01-03,Gia dụng,Hải Phòng,Online,1,1,898700.0,699034.0
2025-01-03,Gia dụng,TP HCM,Cửa hàng,6,6,9597150.0,7165704.0
2025-01-03,Gia dụng,TP HCM,Online,9,9,11284500.0,8339230.0
2025-01-03,Gia dụng,Đà Nẵng,Cửa hàng,3,3,2363000.0,1754056.0
2025-01-03,Gia dụng,Đà Nẵng,Online,2,2,2971400.0,2406584.0
2025-01-03,Mỹ phẩm,Cần Thơ,Online,1,1,394200.0,266071.0
2025-01-03,Mỹ phẩm,Hà Nội,Online,4,4,3113800.0,2198355.0
2025-01-03,Mỹ phẩm,Hải Phòng,Online,1,1,1290000.0,931697.0
2025-01-03,Mỹ phẩm,TP HCM,Cửa hàng,5,5,4326200.0,2867748.0
2025-01-03,Mỹ phẩm,TP HCM,Online,4,3,1739950.0,1311044.0
2025-01-03,Mỹ phẩm,Đà Nẵng,Cửa hàng,2,2,1535000.0,1272950.0
2025-01-03,Sách,Cần Thơ,Cửa hàng,1,1,164000.0,106438.0
2025-01-03,Sách,Cần Thơ,Online,2,2,332000.0,223764.0
2025-01-03,Sách,Hà Nội,Online,1,1,150000.0,99713.0
2025-01-03,Sách,Hải Phòng,Cửa hàng,3,3,429850.0,310235.0
2025-01-03,Sách,Hải Phòng,Online,1,1,636000.0,516745.0
2025-01-03,Sách,TP HCM,Cửa hàng,3,3,867700.0,635449.0
2025-01-03,Sách,TP HCM,Online,6,6,3920167.0,2888508.0
2025-01-03,Sách,Đà Nẵng,Cửa hàng,2,2,915600.0,623570.0
2025-01-03,Sách,Đà Nẵng,Online,4,4,1447850.0,913341.0
2025-01-03,Thời trang,Cần Thơ,Cửa hàng,2,2,2238300.0,1530246.0
2025-01-03,Thời trang,Cần Thơ,Online,1,1,828000.0,598672.0
2025-01-03,Thời trang,Hà Nội,Cửa hàng,5,5,5320700.0,3514056.0
2025-01-03,Thời trang,Hà Nội,Online,2,2,4180000.0,3050087.0
2025-01-03,Thời trang,Hải Phòng,Cửa hàng,2,2,3140100.0,2207771.0
2025-01-03,Thời trang,Hải Phòng,Online,1,1,718200.0,519282.0
2025-01-03,Thời trang,TP HCM,Cửa hàng,7,7,5448100.0,4065987.0
2025-01-03,Thời trang,TP HCM,Online,3,3,4147300.0,3079478.0
2025-01-03,Thời trang,Đà Nẵng,Cửa hàng,3,3,4821450.0,3351470.0
2025-01-03,Thực phẩm,Cần Thơ,Cửa hàng,4,4,1194000.0,787981.0
2025-01-03,Thực phẩm,Cần Thơ,Online,3,3,526400.0,382557.0
2025-01-03,Thực phẩm,Hà Nội,Cửa hàng,6,6,1418650.0,1070916.0
2025-01-03,Thực phẩm,Hà Nội,Online,8,8,2355250.0,1763554.0
2025-01-03,Thực phẩm,Hải Phòng,Cửa hàng,3,3,557450.0,400081.0
2025-01-03,Thực phẩm,Hải Phòng,Online,1,1,354000.0,223649.0
2025-01-03,Thực phẩm,TP HCM,Cửa hàng,9,9,2382300.0,1720691.0
2025-01-03,Thực phẩm,TP HCM,Online,12,12,4037650.0,3099434.0
2025-01-03,Thực phẩm,Đà Nẵng,Cửa hàng,4,4,1030550.0,697903.0
2025-01-03,Thực phẩm,Đà Nẵng,Online,3,3,496000.0,348508.0
2025-01-03,Điện tử,Cần Thơ,Online,1,1,2518000.0,1822477.0
2025-01-03,Điện tử,Hà Nội,Cửa hàng,3,3,8980000.0,6080919.0
2025-01-03,Điện tử,Hà Nội,Online,8,8,16967150.0,11904263.0
2025-01-03,Điện tử,Hải Phòng,Cửa hàng,2,2,5184000.0,3191560.0
2025-01-03,Điện tử,Hải Phòng,Online,2,2,4644850.0,3647032.0
2025-01-03,Điện tử,TP HCM,Cửa hàng,3,3,4425950.0,3435231.0
2025-01-03,Điện tử,TP HCM,Online,3,3,2910950.0,2091408.0
2025-01-03,Điện tử,Đà Nẵng,Cửa hàng,1,1,1949900.0,1576335.0
2025-01-03,Điện tử,Đà Nẵng,Online,2,2,3266950.0,2533697.0
2025-01-04,Gia dụng,Cần Thơ,Online,1,1,862600.0,583692.0
2025-01-04,Gia dụng,Hà Nội,Cửa hàng,5,5,6485250.0,4599615.0
2025-01-04,Gia dụng,Hà Nội,Online,2,2,2351800.0,1499127.0
2025-01-04,Gia dụng,Hải Phòng,Cửa hàng,3,3,3385000.0,2240072.0
2025-01-04,Gia dụng,Hải Phòng,Online,1,1,826500.0,693011.0
2025-01-04,Gia dụng,TP HCM,Cửa hàng,4,4,5922150.0,4316893.0
2025-01-04,Gia dụng,TP HCM,Online,2,2,3452350.0,2417119.0
2025-01-04,Gia dụng,Đà Nẵng,Cửa hàng,4,4,6586000.0,4746403.0
2025-01-04,Gia dụng,Đà Nẵng,Online,2,2,1649100.0,1189308.0
2025-01-04,Mỹ phẩm,Cần Thơ,Cửa hàng,1,1,483550.0,295710.0
2025-01-04,Mỹ phẩm,Cần Thơ,Online,1,1,894900.0,730852.0
2025-01-04,Mỹ phẩm,Hà Nội,Cửa hàng,5,5,5545900.0,4212183.0
2025-01-04,Mỹ phẩm,Hà Nội,Online,2,2,1857300.0,1191167.0
2025-01-04,Mỹ phẩm,Hải Phòng,Cửa hàng,2,2,1362600.0,1129961.0
2025-01-04,Mỹ phẩm,Hải Phòng,Online,1,1,936000.0,747889.0
2025-01-04,Mỹ phẩm,TP HCM,Cửa hàng,6,6,6574000.0,4631917.0
2025-01-04,Mỹ phẩm,TP HCM,Online,3,3,1842200.0,1311616.0
2025-01-04,Mỹ phẩm,Đà Nẵng,Cửa hàng,2,2,3911000.0,2937952.0
2025-01-04,Mỹ phẩm,Đà Nẵng,Online,3,3,1919150.0,1354565.0
2025-01-04,Sách,Cần Thơ,Cửa hàng,3,3,729000.0,601156.0
2025-01-04,Sách,Hà Nội,Cửa hàng,3,3,871350.0,690220.0
2025-01-04,Sách,Hà Nội,Online,1,1,342000.0,231471.0
2025-01-04,Sách,Hải Phòng,Online,2,2,426100.0,308668.0
2025-01-04,Sách,TP HCM,Cửa hàng,1,1,300000.0,243861.0
2025-01-04,Sách,TP HCM,Online,5,5,1155500.0,837239.0
2025-01-04,Sách,Đà Nẵng,Cửa hàng,2,2,424000.0,325356.0
2025-01-04,Sách,Đà Nẵng,Online,2,2,300200.0,227934.0
2025-01-04,Thời trang,Cần Thơ,Online,3,3,3696800.0,2617542.0
2025-01-04,Thời trang,Hà Nội,Cửa hàng,4,4,14465321.0,10405682.0
2025-01-04,Thời trang,Hà Nội,Online,2,2,4797000.0,3160506.0
2025-01-04,Thời trang,Hải Phòng,Online,1,1,765000.0,640618.0
2025-01-04,Thời trang,TP HCM,Cửa hàng,5,5,4425150.0,3037211.0
2025-01-04,Thời trang,TP HCM,Online,4,4,5194000.0,3623109.0
2025-01-04,Thực phẩm,Cần Thơ,Cửa hàng,4,4,1259050.0,942725.0
2025-01-04,Thực phẩm,Cần Thơ,Online,5,5,1863700.0,1292353.0
2025-01-04,Thực phẩm,Hà Nội,Cửa hàng,8,8,2424050.0,1731634.0
2025-01-04,Thực phẩm,Hà Nội,Online,11,11,2990100.0,2180265.0
2025-01-04,Thực phẩm,Hải Phòng,Cửa hàng,1,1,200000.0,121780.0
2025-01-04,Thực phẩm,Hải Phòng,Online,3,3,1020700.0,793879.0
2025-01-04,Thực phẩm,TP HCM,Cửa hàng,11,11,3224900.0,2211348.0
2025-01-04,Thực phẩm,TP HCM,Online,10,10,2455450.0,1808144.0
2025-01-04,Thực phẩm,Đà Nẵng,Cửa hàng,5,5,1057600.0,740278.0
2025-01-04,Thực phẩm,Đà Nẵng,Online,4,4,1162300.0,810819.0
2025-01-04,Điện tử,Cần Thơ,Cửa hàng,2,2,5824000.0,4185993.0
2025-01-04,Điện tử,Hà Nội,Cửa hàng,6,6,9317450.0,7166576.0
2025-01-04,Điện tử,Hà Nội,Online,2,2,24641655.0,17239965.0
2025-01-04,Điện tử,Hải Phòng,Cửa hàng,3,3,3479000.0,2383674.0
2025-01-04,Điện tử,Hải Phòng,Online,2,2,7619000.0,5307503.0
2025-01-04,Điện tử,TP HCM,Cửa hàng,8,8,14145600.0,10855047.0
2025-01-04,Điện tử,TP HCM,Online,5,5,14846150.0,10706457.0
2025-01-04,Điện tử,Đà Nẵng,Cửa hàng,1,1,4424400.0,2940795.0
2025-01-04,Điện tử,Đà Nẵng,Online,2,2,4166700.0,3025360.0
2025-01-05,Gia dụng,Cần Thơ,Online,1,1,2907000.0,2096488.0
2025-01-05,Gia dụng,Hà Nội,Cửa hàng,7,7,25519564.0,18402603.0
2025-01-05,Gia dụng,Hà Nội,Online,6,6,5955950.0,4666372.0
2025-01-05,Gia dụng,Hải Phòng,Cửa hàng,4,4,5896000.0,4283311.0
2025-01-05,Gia dụng,Hải Phòng,Online,1,1,1544700.0,1143243.0
2025-01-05,Gia dụng,TP HCM,Cửa hàng,2,2,2550000.0,1694846.0
2025-01-05,Gia dụng,TP HCM,Online,3,3,6634000.0,4406076.0
2025-01-05,Gia dụng,Đà Nẵng,Cửa hàng,3,3,4691450.0,3002587.0
2025-01-05,Mỹ phẩm,Cần Thơ,Cửa hàng,1,1,923100.0,704632.0
2025-01-05,Mỹ phẩm,Hà Nội,Cửa hàng,2,2,2790000.0,1822320.0
2025-01-05,Mỹ phẩm,Hà Nội,Online,3,3,1668900.0,1085877.0
2025-01-05,Mỹ phẩm,Hải Phòng,Cửa hàng,1,1,515000.0,420178.0
2025-01-05,Mỹ phẩm,Hải Phòng,Online,2,2,1722550.0,1282499.0
2025-01-05,Mỹ phẩm,TP HCM,Cửa hàng,6,6,4351700.0,3106066.0
2025-01-05,Mỹ phẩm,TP HCM,Online,1,1,1996000.0,1307439.0
2025-01-05,Mỹ phẩm,Đà Nẵng,Cửa hàng,1,1,460000.0,347473.0
2025-01-05,Sách,Cần Thơ,Online,1,1,138000.0,99968.0
2025-01-05,Sách,Hà Nội,Cửa hàng,3,3,478450.0,376760.0
2025-01-05,Sách,Hà Nội,Online,6,6,1132700.0,872138.0
2025-01-05,Sách,Hải Phòng,Cửa hàng,1,1,131000.0,109594.0
2025-01-05,Sách,Hải Phòng,Online,1,1,151000.0,100641.0
2025-01-05,Sách,TP HCM,Cửa hàng,3,3,760550.0,562505.0
2025-01-05,Sách,TP HCM,Online,3,3,937000.0,678765.0
2025-01-05,Sách,Đà Nẵng,Cửa hàng,1,1,165000.0,130573.0
2025-01-05,Thời trang,Cần Thơ,Cửa hàng,2,2,2225300.0,1604435.0
2025-01-05,Thời trang,Cần Thơ,Online,4,4,6351400.0,4203164.0
2025-01-05,Thời trang,Hà Nội,Cửa hàng,5,5,6200300.0,4373334.0
2025-01-05,Thời trang,Hà Nội,Online,6,6,7617000.0,5426687.0
2025-01-05,Thời trang,Hải Phòng,Cửa hàng,1,1,1250200.0,927919.0
2025-01-05,Thời trang,Hải Phòng,Online,3,3,2482250.0,1859110.0
2025-01-05,Thời trang,TP HCM,Cửa hàng,3,3,4884000.0,3607414.0
2025-01-05,Thời trang,TP HCM,Online,5,5,7428300.0,5441726.0
2025-01-05,Thời trang,Đà Nẵng,Cửa hàng,3,3,3768000.0,2509625.0
2025-01-05,Thời trang,Đà Nẵng,Online,3,3,3318700.0,2443285.0
2025-01-05,Thực phẩm,Cần Thơ,Cửa hàng,5,5,1646000.0,1327666.0
2025-01-05,Thực phẩm,Cần Thơ,Online,3,3,490350.0,343197.0
2025-01-05,Thực phẩm,Hà Nội,Cửa hàng,7,7,1693300.0,1137273.0
2025-01-05,Thực phẩm,Hà Nội,Online,8,8,5687408.0,4018766.0
2025-01-05,Thực phẩm,Hải Phòng,Cửa hàng,4,4,975750.0,727440.0
2025-01-05,Thực phẩm,Hải Phòng,Online,2,2,565000.0,377778.0
2025-01-05,Thực phẩm,TP HCM,Cửa hàng,9,9,3450850.0,2393193.0
2025-01-05,Thực phẩm,TP HCM,Online,5,5,1741500.0,1323616.0
2025-01-05,Thực phẩm,Đà Nẵng,Cửa hàng,5,5,2145600.0,1618993.0
2025-01-05,Thực phẩm,Đà Nẵng,Online,1,1,330000.0,238529.0
2025-01-05,Điện tử,Cần Thơ,Cửa hàng,2,2,2294000.0,1634553.0
2025-01-05,Điện tử,Cần Thơ,Online,1,1,1168000.0,745128.0
2025-01-05,Điện tử,Hà Nội,Cửa hàng,4,4,5253500.0,3857408.0
2025-01-05,Điện tử,Hà Nội,Online,5,5,10736000.0,7773240.0
2025-01-05,Điện tử,Hải Phòng,Cửa hàng,3,3,7032000.0,5606045.0
2025-01-05,Điện tử,Hải Phòng,Online,2,2,3304400.0,2594449.0
2025-01-05,Điện tử,TP HCM,Cửa hàng,5,5,13376100.0,9752712.0
2025-01-05,Điện tử,TP HCM,Online,7,7,11262800.0,7846507.0
2025-01-05,Điện tử,Đà Nẵng,Online,4,4,14185500.0,11180681.0
2025-01-06,Gia dụng,Cần Thơ,Cửa hàng,1,1,1512000.0,1250660.0
2025-01-06,Gia dụng,Cần Thơ,Online,1,1,1679600.0,1211304.0
2025-01-06,Gia dụng,Hà Nội,Cửa hàng,5,5,6243150.0,4396400.0
2025-01-06,Gia dụng,Hà Nội,Online,3,3,6400000.0,4440982.0
2025-01-06,Gia dụng,Hải Phòng,Online,3,3,3099500.0,2307412.0
2025-01-06,Gia dụng,TP HCM,Cửa hàng,5,5,6643000.0,4833913.0
2025-01-06,Gia dụng,TP HCM,Online,4,4,4927600.0,3366136.0
2025-01-06,Gia dụng,Đà Nẵng,Cửa hàng,4,4,5849500.0,3953449.0
2025-01-06,Gia dụng,Đà Nẵng,Online,2,2,3633000.0,2642944.0
2025-01-06,Mỹ phẩm,Cần Thơ,Cửa hàng,1,1,364650.0,264647.0
2025-01-06,Mỹ phẩm,Cần Thơ,Online,2,2,3152400.0,1923606.0
2025-01-06,Mỹ phẩm,Hà Nội,Cửa hàng,2,2,1858000.0,1181342.0
2025-01-06,Mỹ phẩm,Hải Phòng,Cửa hàng,1,1,917700.0,612622.0
2025-01-06,Mỹ phẩm,TP HCM,Cửa hàng,2,2,1417600.0,1052296.0
2025-01-06,Mỹ phẩm,TP HCM,Online,6,6,6085900.0,4112380.0
2025-01-06,Sách,Cần Thơ,Cửa hàng,3,3,833700.0,643251.0
2025-01-06,Sách,Cần Thơ,Online,1,1,484500.0,366364.0
2025-01-06,Sách,Hà Nội,Cửa hàng,6,6,2141300.0,1479064.0
2025-01-06,Sách,Hà Nội,Online,4,4,577800.0,419183.0
2025-01-06,Sách,Hải Phòng,Cửa hàng,2,2,282700.0,190538.0
2025-01-06,Sách,Hải Phòng,Online,1,1,418950.0,303488.0
2025-01-06,Sách,TP HCM,Cửa hàng,6,6,1043050.0,724794.0
2025-01-06,Sách,TP HCM,Online,1,1,268200.0,193229.0
2025-01-06,Sách,Đà Nẵng,Cửa hàng,1,1,140000.0,84169.0
2025-01-06,Thời trang,Cần Thơ,Cửa hàng,3,3,2637200.0,2033950.0
2025-01-06,Thời trang,Hà Nội,Cửa hàng,10,10,10361450.0,7731345.0
2025-01-06,Thời trang,Hà Nội,Online,2,2,4007000.0,3042061.0
2025-01-06,Thời trang,Hải Phòng,Cửa hàng,1,1,2972000.0,2384659.0
2025-01-06,Thời trang,Hải Phòng,Online,2,2,1500000.0,1098017.0
2025-01-06,Thời trang,TP HCM,Cửa hàng,7,7,11543600.0,8728453.0
2025-01-06,Thời trang,TP HCM,Online,6,6,7451550.0,5186993.0
2025-01-06,Thời trang,Đà Nẵng,Cửa hàng,2,2,1340000.0,1088608.0
2025-01-06,Thực phẩm,Cần Thơ,Cửa hàng,5,5,1805050.0,1318635.0
2025-01-06,Thực phẩm,Cần Thơ,Online,3,3,1038750.0,762287.0
2025-01-06,Thực phẩm,Hà Nội,Cửa hàng,8,8,2119250.0,1465185.0
2025-01-06,Thực phẩm,Hà Nội,Online,8,8,2426750.0,1755657.0
2025-01-06,Thực phẩm,Hải Phòng,Cửa hàng,3,3,636000.0,428051.0
2025-01-06,Thực phẩm,Hải Phòng,Online,6,6,1750750.0,1274385.0
2025-01-06,Thực phẩm,TP HCM,Cửa hàng,11,11,3058000.0,2189443.0
2025-01-06,Thực phẩm,TP HCM,Online,8,8,2683200.0,1932127.0
2025-01-06,Thực phẩm,Đà Nẵng,Cửa hàng,5,5,2033150.0,1445367.0
2025-01-06,Điện tử,Cần Thơ,Cửa hàng,3,3,11011000.0,7384147.0
2025-01-06,Điện tử,Hà Nội,Cửa hàng,9,9,32745462.0,22812206.0
2025-01-06,Điện tử,Hà Nội,Online,4,4,5899350.0,4333173.0
2025-01-06,Điện tử,Hải Phòng,Cửa hàng,1,1,2141300.0,1500652.0
2025-01-06,Điện tử,Hải Phòng,Online,3,3,4162900.0,3013022.0
2025-01-06,Điện tử,TP HCM,Cửa hàng,4,4,5659900.0,4032074.0
2025-01-06,Điện tử,TP HCM,Online,2,2,3417300.0,2574977.0
2025-01-06,Điện tử,Đà Nẵng,Cửa hàng,2,2,3171500.0,2081643.0
2025-01-06,Điện tử,Đà Nẵng,Online,1,1,1856300.0,1496159.0
2025-01-07,Gia dụng,Cần Thơ,Cửa hàng,1,1,12673291.0,8871303.0
2025-01-07,Gia dụng,Cần Thơ,Online,1,1,805500.0,612039.0
2025-01-07,Gia dụng,Hà Nội,Cửa hàng,3,3,4167300.0,3189450.0
2025-01-07,Gia dụng,Hà Nội,Online,6,6,10191800.0,7615528.0
2025-01-07,Gia dụng,Hải Phòng,Online,4,4,5374000.0,3953513.0
2025-01-07,Gia dụng,TP HCM,Cửa hàng,2,2,2445000.0,1588935.0
2025-01-07,Gia dụng,TP HCM,Online,5,5,6701900.0,4877221.0
2025-01-07,Gia dụng,Đà Nẵng,Cửa hàng,4,4,19059665.0,13470723.0
2025-01-07,Gia dụng,Đà Nẵng,Online,1,1,787000.0,649991.0
2025-01-07,Mỹ phẩm,Cần Thơ,Cửa hàng,1,1,908000.0,713970.0
2025-01-07,Mỹ phẩm,Cần Thơ,Online,1,1,439850.0,282465.0
2025-01-07,Mỹ phẩm,Hà Nội,Cửa hàng,5,5,5072950.0,3733277.0
2025-01-07,Mỹ phẩm,Hải Phòng,Online,2,2,1315100.0,962930.0
2025-01-07,Mỹ phẩm,TP HCM,Cửa hàng,3,3,2329700.0,1740516.0
2025-01-07,Mỹ phẩm,TP HCM,Online,2,2,3320000.0,2213494.0
2025-01-07,Mỹ phẩm,Đà Nẵng,Cửa hàng,2,2,2608000.0,1933142.0
2025-01-07,Mỹ phẩm,Đà Nẵng,Online,2,2,1307250.0,853267.0
2025-01-07,Sách,Cần Thơ,Cửa hàng,1,1,171000.0,115296.0
2025-01-07,Sách,Cần Thơ,Online,1,1,670000.0,485350.0
